,Heat,Rank,Name,Nation,Gap,Notes
0,1,1,Jack Carlin,Great Britain,,Q
1,1,2,Azizulhasni Awang,Malaysia,+0.052,
2,2,1,Mateusz Rudyk,Poland,,Q
3,2,2,Nikita Shurshin,Russia,+0.039,
4,3,1,Denis Dmitriev,Russia,,Q
5,3,2,Eric Engler,Germany,+0.290,
6,4,1,Ryan Owens,Great Britain,,Q
7,4,2,Im Chae-bin,South Korea,+0.071,
8,5,1,Melvin Landerneau,France,,Q
9,5,2,Sam Webster,New Zealand,+0.049,
10,6,1,Vasilijus Lendel,Lithuania,,Q
11,6,2,Tomoyuki Kawabata,Japan,+0.131,
12,7,1,Ethan Mitchell,New Zealand,,Q
13,7,2,Damian Zieliński,Poland,+0.057,
14,8,1,Yuta Wakimoto,Japan,,Q
15,8,2,Stefan Ritter,Canada,+0.083,
16,9,1,Eddie Dawkins,New Zealand,,Q
17,9,2,Martin Čechman,Czech Republic,+0.037,
18,10,1,Kazunari Watanabe,Japan,,Q
19,10,2,Fabián Puerta,Colombia,REL,
20,11,1,Rayan Helal,France,,Q
21,11,2,Hugo Barrette,Canada,+0.299,
22,12,1,Maximilian Levy,Germany,,Q
23,12,2,Pavel Yakushevskiy,Russia,+0.055,
