,Heat,Rank,Name,Nation,Gap,Notes
0,1,1,Jeffrey Hoogland,Netherlands,,Q
1,1,2,Pavel Kelemen,Czech Republic,+0.073,
2,2,1,Harrie Lavreysen,Netherlands,,Q
3,2,2,Sam Webster,New Zealand,+1.445,
4,3,1,Mateusz Rudyk,Poland,,Q
5,3,2,Hugo Barrette,Canada,+0.099,
6,4,1,Ethan Mitchell,New Zealand,,Q
7,4,2,Sebastien Vigier,France,+0.007,
8,5,1,Matthew Glaetzer,Australia,,Q
9,5,2,Tomohiro Fukaya,Japan,+0.090,
10,6,1,Denis Dmitriev,Russia,,Q
11,6,2,Jack Carlin,Great Britain,+0.018,
12,7,1,Nathan Hart,Australia,,Q
13,7,2,Joseph Truman,Great Britain,Relegated,Relegated
14,8,1,Nicholas Paul,Trinidad and Tobago,,Q
15,8,2,Stefan Bötticher,Germany,+0.004,
