,Rank,Name,Nation,Time,Behind,Notes
0,1,Jeffrey Hoogland,Netherlands,9.572000000000001,,Q
1,2,Harrie Lavreysen,Netherlands,9.584,0.012,Q
2,3,Mateusz Rudyk,Poland,9.584,0.012,Q
3,4,Sebastien Vigier,France,9.673,0.10099999999999999,Q
4,5,Matthew Glaetzer,Australia,9.706,0.134,q
5,6,Denis Dmitriev,Russia,9.73,0.158,q
6,7,Nathan Hart,Australia,9.732999999999999,0.161,q
7,8,Nicholas Paul,Trinidad and Tobago,9.751,0.179,q
8,9,Stefan Bötticher,Germany,9.758,0.18600000000000003,q
9,10,Joseph Truman,Great Britain,9.767000000000001,0.195,q
10,11,Jack Carlin,Great Britain,9.783,0.21100000000000002,q
11,12,Jair Tjon En Fa,Suriname,9.805,0.233,q
12,13,Njisane Phillip,Trinidad and Tobago,9.828,0.256,q
13,14,Quentin Caleyron,France,9.839,0.267,q
14,15,Matthijs Büchli,Netherlands,9.852,0.28,q
15,16,Sándor Szalontay,Hungary,9.854,0.282,q
16,17,Pavel Kelemen,Czech Republic,9.878,0.306,q
17,18,Sam Webster,New Zealand,9.88,0.308,q
18,19,Hugo Barrette,Canada,9.884,0.312,q
19,20,Ethan Mitchell,New Zealand,9.902000000000001,0.33,q
20,21,Tomohiro Fukaya,Japan,9.916,0.344,q
21,22,Maximilian Dörnbach,Germany,9.917,0.345,q
22,23,Pavel Yakushevskiy,Russia,9.92,0.348,q
23,24,Xu Chao,China,9.948,0.376,q
24,25,Yuta Wakimoto,Japan,9.952,0.38,q
25,26,Juan Peralta,Spain,9.97,0.39799999999999996,q
26,27,Vasilijus Lendel,Lithuania,9.977,0.405,q
27,28,Kevin Quintero,Colombia,9.99,0.418,q
28,29,Joel Archambault,Canada,10.02,0.44799999999999995,
29,30,Azizulhasni Awang,Malaysia,10.022,0.45,
30,31,Muhammad Shah Firdaus Sahrom,Malaysia,10.09,0.518,
31,32,Jean Spies,South Africa,10.183,0.611,
32,33,Maxim Nalyotov,Kazakhstan,10.187000000000001,0.615,
33,34,Muhammad Fadhil Mohd Zonis,Malaysia,10.242,0.67,
