,Heat,Rank,Name,Nation,Gap,Notes
0,1,1,Stephanie Morton,Australia,,Q
1,1,2,Lyubov Basova,Ukraine,0.16,
2,2,1,Pauline Grabosch,Germany,,Q
3,2,2,Nicky Degrendele,Belgium,0.036000000000000004,
4,3,1,Kristina Vogel,Germany,,Q
5,3,2,Natasha Hansen,New Zealand,0.086,
6,4,1,Daria Shmeleva,Russia,,Q
7,4,2,Anastasia Voynova,Russia,0.002,
8,5,1,Lee Wai Sze,Hong Kong,,Q
9,5,2,Madalyn Godby,United States,0.14800000000000002,
10,6,1,Laurine van Riessen,Netherlands,,Q
11,6,2,Mathilde Gros,France,0.01,
12,7,1,Shanne Braspennincx,Netherlands,,Q
13,7,2,Miriam Welte,Germany,0.054000000000000006,
14,8,1,Simona Krupeckaitė,Lithuania,,Q
15,8,2,Olena Starikova,Ukraine,0.1,
