,Rank,Name,Nation,Time,Behind,Notes
0,1,Emma Hinze,Germany,10.364,,Q
1,2,Lea Friedrich,Germany,10.460999999999999,0.09699999999999999,Q
2,3,Shanne Braspennincx,Netherlands,10.478,0.114,Q
3,4,Lee Wai Sze,Hong Kong,10.478,0.114,Q
4,5,Stephanie Morton,Australia,10.482999999999999,0.11900000000000001,q
5,6,Lauriane Genest,Canada,10.487,0.12300000000000001,q
6,7,Kelsey Mitchell,Canada,10.504000000000001,0.14,q
7,8,Laurine van Riessen,Netherlands,10.513,0.149,q
8,9,Mathilde Gros,France,10.533,0.16899999999999998,q
9,10,Katy Marchant,Great Britain,10.559000000000001,0.195,q
10,11,Miriam Vece,Italy,10.58,0.21600000000000003,q
11,12,Daniela Gaxiola,Mexico,10.583,0.21899999999999997,q
12,13,Zhong Tianshi,China,10.588,0.22399999999999998,q
13,14,Anastasia Voynova,Russia,10.622,0.258,q
14,15,Sophie Capewell,Great Britain,10.625,0.261,q
15,16,Olena Starikova,Ukraine,10.634,0.27,q
16,17,Natasha Hansen,New Zealand,10.638,0.27399999999999997,q
17,18,Yuka Kobayashi,Japan,10.712,0.348,q
18,19,Kaarle McCulloch,Australia,10.744000000000002,0.38,q
19,20,Olivia Podmore,New Zealand,10.748,0.384,q
20,21,Jessica Salazar,Mexico,10.754000000000001,0.39,q
21,22,Simona Krupeckaitė,Lithuania,10.776,0.41200000000000003,q
22,23,Daria Shmeleva,Russia,10.802,0.43799999999999994,q
23,24,Martha Bayona,Colombia,10.806,0.442,q
24,25,Madalyn Godby,United States,10.855,0.491,q
25,26,Riyu Ohta,Japan,10.901,0.537,q
26,27,Sarah Orban,Canada,10.921,0.557,q
27,28,Miglė Marozaitė,Lithuania,10.925,0.561,q
28,29,Mandy Marquardt,United States,10.939,0.575,
29,30,Tania Calvo,Spain,10.959000000000001,0.595,
30,31,Jessica Lee Hoi Yan,Hong Kong,11.047,0.6829999999999999,
31,32,Ekaterina Rogovaya,Russia,11.056,0.6920000000000001,
32,33,Charlene du Preez,South Africa,11.105,0.741,
