,Heat,Rank,Name,Nation,Gap,Notes
0,1,1,Stephanie Morton,Australia,,Q
1,1,2,Miglė Marozaitė,Lithuania,0.136,
2,2,1,Lauriane Genest,Canada,,Q
3,2,2,Sarah Orban,Canada,0.284,
4,3,1,Kelsey Mitchell,Canada,,Q
5,3,2,Riyu Ohta,Japan,0.098,
6,4,1,Laurine van Riessen,Netherlands,,Q
7,4,2,Madalyn Godby,United States,0.243,
8,5,1,Mathilde Gros,France,,Q
9,5,2,Martha Bayona,Colombia,0.10099999999999999,
10,6,1,Katy Marchant,Great Britain,,Q
11,6,2,Daria Shmeleva,Russia,0.228,
12,7,1,Simona Krupeckaitė,Lithuania,,Q
13,7,2,Miriam Vece,Italy,0.016,
14,8,1,Daniela Gaxiola,Mexico,,Q
15,8,2,Jessica Salazar,Mexico,0.034,
16,9,1,Zhong Tianshi,China,,Q
17,9,2,Olivia Podmore,New Zealand,0.028999999999999998,
18,10,1,Anastasia Voynova,Russia,,Q
19,10,2,Kaarle McCulloch,Australia,0.307,
20,11,1,Yuka Kobayashi,Japan,,Q
21,11,2,Sophie Capewell,Great Britain,0.035,
22,12,1,Olena Starikova,Ukraine,,Q
23,12,2,Natasha Hansen,New Zealand,0.057999999999999996,
