rank,name,time
1,PEDERSEN Mads,6:27:28
2,TRENTIN Matteo,06:27:28
3,KUNG Stefan,06:27:30
4,MOSCON Gianni,06:27:45
5,SAGAN Peter,06:28:11
6,ANDERSEN Michael Valgren,06:28:13
7,KRISTOFF Alexander,06:28:38
8,van AVERMAET Greg,06:28:38
9,IZAGIRRE INSAUSTI Gorka,06:28:38
10,COSTA Rui,06:28:38
11,COLBRELLI Sonny,06:28:38
12,FUGLSANG Jakob,06:28:38
13,STYBAR Zdenek,06:28:38
14,BETANCUR Carlos,06:28:38
15,DEGENKOLB John,06:28:38
16,IZAGIRRE INSAUSTI Ion,06:28:42
17,JANSEN Amund Grondahl,06:28:42
18,POGACAR Tadej,06:28:42
19,POLITT Nils,06:28:50
20,TERPSTRA Niki,06:28:50
21,SKUJINS Toms,06:29:14
22,ALBASINI Michael,06:29:16
23,GALLOPIN Tony,06:29:18
24,MATTHEWS Michael,06:29:25
25,BETTIOL Alberto,06:29:25
26,GEOGHEGAN HART Tao,06:29:48
27,HIRSCHI Marc,06:29:48
28,ALAPHILIPPE Julian,06:29:54
29,MARTINEZ POVEDA Daniel Felipe,06:31:27
30,GROSSSCHARTNER Felix,06:31:27
31,SWIFT Ben,06:34:06
32,LAMPAERT Yves,06:35:16
33,NAESEN Oliver,06:35:35
34,BYSTROM Sven Erik,06:35:35
35,WELLENS Tim,06:35:35
36,TEUNISSEN Mike,06:35:35
37,TEUNS Dylan,06:35:35
38,CHAVES RUBIO Jhoan Esteban,06:35:35
39,AMADOR Andrey,06:35:35
40,HAGA Chad,06:37:55
41,POWLESS Neilson,06:37:55
42,COSNEFROY Benoit,06:38:20
43,van der POEL Mathieu,06:38:20
44,ERVITI Imanol,06:42:16
45,ERIKSSON Lucas,06:42:16
46,VAKOC Petr,06:46:53
-,HAIG Jack,DNF
-,POSTLBERGER Lukas,DNF
-,SENECHAL Florian,DNF
-,van BAARLE Dylan,DNF
-,YATES Adam,DNF
-,KONRAD Patrick,DNF
-,HALLER Marco,DNF
-,MOLLEMA Bauke,DNF
-,PIBERNIK Luka,DNF
-,RIABUSHENKO Aleksandr,DNF
-,ARNDT Nikias,DNF
-,CIMOLAI Davide,DNF
-,SAGAN Juraj,DNF
-,NIELSEN Magnus Cort,DNF
-,HODEG CHAGUI Alvaro Jose,DNF
-,HAGEN Edvald Boasson,DNF
-,WOODS Michael,DNF
-,LAPORTE Christophe,DNF
-,GOLAS Michal,DNF
-,HAAS Nathan,DNF
-,SOLER Marc,DNF
-,ACKERMANN Pascal,DNF
-,GUERREIRO Ruben,DNF
-,KIRSCH Alex,DNF
-,JAKIN Alo,DNF
-,CRADDOCK G Lawson,DNF
-,CLARKE Simon,DNF
-,DURBRIDGE Luke,DNF
-,PERNSTEINER Hermann,DNF
-,VISCONTI Giovanni,DNF
-,LUTSENKO Alexey,DNF
-,BOLE Grega,DNF
-,GESCHKE Simon,DNF
-,THOMAS Geraint,DNF
-,MORKOV Michael,DNF
-,CAICEDO Jonathan,DNF
-,CAVAGNA Remi,DNF
-,SANCHEZ Luis Leon,DNF
-,PUCCIO Salvatore,DNF
-,JUUL JENSEN Christopher,DNF
-,BAUER Jack,DNF
-,WEENING Pieter,DNF
-,MAJKA Rafal,DNF
-,POLJANSKI Pawel,DNF
-,SUTTERLIN Jasha,DNF
-,WISNIOWSKI Lukasz,DNF
-,CASTROVIEJO Nicolas Jonathan,DNF
-,CERNY Josef,DNF
-,ASGREEN Kasper,DNF
-,BENNETT Sam,DNF
-,WYSS Danilo,DNF
-,PERRY Benjamin,DNF
-,GROSU Eduard-Michael,DNF
-,LIEPINS Emils,DNF
-,TOWNSEND Rory,DNF
-,MOHORIC Matej,DNF
-,ROUX Anthony,DNF
-,ULISSI Diego,DNF
-,JUNGELS Bob,DNF
-,ROJAS Jose,DNF
-,ARASHIRO Yukiya,DNF
-,KOCH Jonas,DNF
-,DOCKER Mitchell,DNF
-,SCHAR Michael,DNF
-,PEDERSEN Casper Phillip,DNF
-,SIVAKOV Pavel,DNF
-,SEPULVEDA Eduardo,DNF
-,HENAO GOMEZ Sebastian,DNF
-,HAGEN Carl Fredrik,DNF
-,SMITH Dion,DNF
-,LANGEVELD Sebastian,DNF
-,BURGHARDT Marcus,DNF
