rank,name,race number,country,time,speed,heat
1,GLAETZER Matthew,88,AUS,10.3,69.903,1
2,QUINTERO CHAVARRO Kevin Santiago,148,COL,10.391,,1
1,DMITRIEV Denis,334,RUS,10.035,71.749,2
2,LENDEL Vasilijus,279,LTU,10.174,,2
1,HART Nathan,89,AUS,10.108,71.231,3
2,PERALTA GASCON Juan,164,ESP,10.345,,3
1,PAUL Nicholas,368,TTO,10.374,69.404,4
2,WAKIMOTO Yut,258,JPN,10.472,,4
1,BOTTICHER Stefan,201,GER,10.159,70.873,5
2,XU Chao,137,CHN,10.197,,5
1,TRUMAN Joseph,191,GBR,10.144,70.978,6
2,YAKUSHEVSKIY Pavel,345,RUS,10.278,,6
1,CARLIN Jack,184,GBR,10.173,70.776,7
2,DORNBACH Maximilian,202,GER,10.231,,7
1,FUKAYA Tomohiro,252,JPN,10.335,69.666,8
2,TJON EN FA Jair,362,SUR,10.369,,8
1,MITCHELL Ethan,304,NZL,10.151,70.929,9
2,PHILLIP Njisane,369,TTO,DNF,,9
1,BARRETTE Hugo,122,CAN,10.362,69.485,10
2,CALEYRON Quentin,168,FRA,10.481,,10
1,WEBSTER Sam,306,NZL,10.266,70.134,11
2,BUCHLI Matthijs,289,NED,0.053,,11
1,KELEMEN Pavel,153,CZE,10.55,68.246,12
2,SZALONTAY Sandor,227,HUN,0.037,,12
