rank,name,country,1000,2000,total,1000-2000,2000-3000,speed
1,DYGERT Chloe,USA,1:08.462 (2),2:11.726 (2),03:17.28,1:03.264 (1),1:05.557 (3),"54,744 WR"
2,BRENNAUER Lisa,GER,1:07.752 (1),2:11.132 (1),03:18.32,1:03.380 (2),1:07.188 (7),54457
3,BRAUSSE Franziska,GER,1:11.588 (6),2:16.612 (5),03:20.22,1:05.024 (4),1:03.610 (1),53940
4,KLEIN Lisa,GER,1:11.914 (7),2:16.719 (6),03:21.83,1:04.805 (3),1:05.109 (2),53511
5,FOREMAN-MACKEY Annie,CAN,1:10.678 (5),2:16.544 (4),03:24.97,1:05.866 (6),1:08.424 (10),52691
6,WHITE Emma,USA,1:09.616 (3),2:16.812 (7),03:25.67,1:07.196 (13),1:08.855 (12),52512
7,NIELSEN Jaime,NZL,1:13.149 (16),2:19.328 (10),03:26.51,1:06.179 (8),1:07.180 (6),52298
8,BONHOMME Ariane,CAN,1:12.848 (14),2:18.571 (9),03:26.51,1:05.723 (5),1:07.942 (8),52297
9,SIMMERLING Georgia,CAN,1:09.753 (4),2:15.909 (3),03:26.71,1:06.156 (7),1:10.803 (18),52247
10,PLOUFFE Maeve,AUS,1:13.205 (17),2:19.746 (12),03:26.74,1:06.541 (10),1:06.996 (5),52239
11,BOTHA Bryony,NZL,1:13.139 (15),2:19.905 (15),03:26.84,1:06.766 (11),1:06.932 (4),52215
12,KNIGHT Josie,GBR,1:12.671 (12),2:19.887 (14),03:27.88,1:07.216 (14),1:07.988 (9),51954
13,JAMES Kirstie,NZL,1:11.987 (8),2:18.462 (8),03:28.01,1:06.475 (9),1:09.544 (13),51922
14,ANKUDINOFF Ashlee,AUS,1:12.032 (9),2:19.504 (11),03:28.12,1:07.472 (15),1:08.614 (11),51894
15,MURPHY Kelly,IRL,1:12.833 (13),2:19.764 (13),03:29.70,1:06.931 (12),1:09.935 (15),51502
16,VALSECCHI Silvia,ITA,1:12.415 (10),2:20.565 (16),03:30.64,1:08.150 (17),1:10.075 (16),51272
17,DRONOVA Tamara,RUS,1:13.546 (18),2:21.577 (17),03:32.30,1:08.031 (16),1:10.727 (17),50870
18,DEMAY Coralie,FRA,1:12.655 (11),2:21.585 (18),03:33.87,1:08.930 (19),1:12.285 (19),50498
19,CAVALLI Marta,ITA,1:13.758 (19),2:22.911 (19),03:36.14,1:09.153 (20),1:13.231 (20),49967
20,PIVAVARAVA Palina,BLR,1:16.845 (22),2:27.868 (21),03:37.47,1:09.599 (14),1:11.023 (21),49663
21,SAVENKA Ina,BLR,1:15.874 (20),2:24.102 (20),03:37.53,1:08.228 (18),1:13.428 (21),49648
22,MEDVEDOVA Tereza,SVK,1:16.079 (21),2:31.344 (22),03:48.47,1:15.265 (22),1:17.127 (22),47271
