rank,name,country,1000,2000,total,1000-2000,2000-3000,speed
1,95 ANKUDINOFF Ashlee,AUS,1:12.406 (1),2:19.619 (1),03:25.97,1:07.213 (2),1:06.352 (1),52.435
2,213 BRENNAUER Lisa,GER,1:12.858 (2),2:19.960 (2),03:29.24,1:07.102 (1),1:09.283 (2),51.615
3,217 KLEIN Lisa,GER,1:12.359 (1),2:20.105 (1),03:29.47,1:07.746 (1),1:09.368 (1),51.558
4,312 JAMES Kirstie,NZL,1:13.505 (2),2:22.725 (2),03:34.19,1:09.220 (2),1:11.463 (2),50.423
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
