rank,heat,name,country,time,speed
1,1,BRASPENNINCX Shanne,NED,11.473,62.756
2,1,DEGRENDELE Nicky,BEL,11.515,
3,1,GENEST Lauriane,CAN,11.549,
4,1,LEE Hyejin,KOR,11.632,
5,1,PODMORE Olivia,NZL,11.806,
1,2,LEE Wai Sze,HKG,11.221,64.165
2,2,KRUPECKAITE Simona,LTU,11.267,
3,2,HINZE Emma,GER,11.447,
4,2,MARCHANT Katy,GBR,11.698,
5,2,VOINOVA Anastasiia,RUS,11.981,
1,3,van RIESSEN Laurine,NED,11.521,62.495
2,3,KOBAYASHI Yuka,JPN,11.68,
3,3,GROS Mathilde,FRA,12.053,
4,3,Los Urszula,POL,12.197,
5,3,LEE Hoi Yan Jessica,HKG,REL,
1,4,SHMELEVA Daria,RUS,11.631,61.904
2,4,GODBY Madalyn,USA,11.706,
3,4,LIN Junhong,CHN,11.731,
4,4,McCULLOCH Kaarle,AUS,11.815,
5,4,CASAS ROIGE Helena,ESP,11.894,
1,5,MORTON Stephanie,AUS,10.923,65.916
2,5,OHTA Riyu,JPN,11.062,
3,5,BAYONA PINEDA Martha,COL,12.013,
4,5,BASOVA Liubov,UKR,12.103,
5,5,CLAIR Sandie,FRA,12.233,
