rank,heat,name,country,time,speed
1,1,McCULLOCH Kaarle,AUS,11.407,63.119
2,1,GENEST Lauriane,CAN,11.439,
3,1,du PREEZ Charlene,RSA,11.701,
4,1,BASOVA Liubov,UKR,11.705,
1,2,GROS Mathilde,FRA,11.513,62.538
2,2,LEE Hyejin,KOR,11.832,
3,2,HINZE Emma,GER,11.933,
4,2,CLAIR Sandie,FRA,REL,
1,3,LEE Hoi Yan Jessica,HKG,11.435,62.965
2,3,MARCHANT Katy,GBR,11.635,
3,3,CASAS ROIGE Helena,ESP,11.785,
4,3,PODMORE Olivia,NZL,REL,
1,4,VOINOVA Anastasiia,RUS,11.126,64.713
2,4,LIN Junhong,CHN,11.323,
3,4,BAYONA PINEDA Martha,COL,11.359,
4,4,LOS Urzula,POL,11.854,
