rank,heat,name,country,time,speed
1,1,214 FRIEDRICH Lea Sophie,GER,11.293,63756
2,1,273 LEE Hyejin,KOR,11.335,
3,1,199 MARCHANT Katy,GBR,11.399,
4,1,295 van RIESSEN Laurine,NED,11.417,
5,1,346 VOINOVA Anastasiia,RUS,11.486,
6,1,164 CASAS ROIGE Helena,ESP,11.502,
1,2,216 HINZE Emma,GER,11.217,64188
2,2,101 MORTON Stephanie,AUS,11.307,
3,2,307 HANSEN Natasha,NZL,11.411,
4,2,110 DEGRENDELE Nicky,BEL,11.445,
5,2,146 BAYONA PINEDA Martha,COL,11.493,
6,2,129 GENEST Lauriane,CAN,11.584,
1,3,226 LEE Wai Sze,HKG,11.34,63492
2,3,367 GODBY Madalyn,USA,11.39,
3,3,304 ANDREWS Ellesse,NZL,11.407,
4,3,181 GROS Mathilde,FRA,11.426,
5,3,291 BRASPENNINCX Shanne,NED,11.436,
6,3,130 MITCHELL Kelsey,CAN,11.53,
