Heat,Name,Country,Time,Speed
1,McCULLOCH Kaarle,AUS,11.407,63.119
1,129 GENEST Lauriane,CAN,0.032,
1,333 du PREEZ Charlene,RSA,0.294,
1,373 BASOVA Liubov,UKR,0.298,
2,180 GROS Mathilde,FRA,11.513,62.538
2,276 LEE Hyejin,KOR,0.319,
2,216 HINZE Emma,GER,0.42,
2,178 CLAIR Sandie,FRA,REL,
3,222 LEE Hoi Yan Jessica,HKG,11.435,62.965
3,197 MARCHANT Katy,GBR,0.2,
3,166 CASAS ROIGE Helena,ESP,0.35,
3,313 PODMORE Olivia,NZL,REL,
4,354 VOINOVA Anastasiia,RUS,11.126,64.713
4,144 LIN Junhong,CHN,0.197,
4,150 BAYONA PINEDA Martha,COL,0.233,
4,Los Urzula,POL,0.728,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
