Heat 2,Name,Country,Time,Speed
,180 GROS Mathilde,FRA,11.682,61.633
,280 KRUPECKAITE Simona,LTU,0.04,
,295 BRASPENNINCX Shanne,NED,0.064,
,353 SHMELEVA Daria,RUS,0.088,
,144 LIN Junhong,CHN,1.85,
,222 LEE Hoi Yan Jessica,HKG,,
,MORTON Stephanie,AUS,11.156,64.539
,223 LEE Wai Sze,HKG,0.092,
,McCULLOCH Kaarle,AUS,0.116,
,354 VOINOVA Anastasiia,RUS,0.152,
,261 KOBAYASHI Yuka,JPN,0.23,
,197 MARCHANT Katy,GBR,0.279,
,276 LEE Hyejin,KOR,11.821,60.909
,300 van RIESSEN Laurine,NED,0.02,
,387 GODBY Madalyn,USA,0.024,
,107 DEGRENDELE Nicky,BEL,0.024,
,129 GENEST Lauriane,CAN,0.182,
,263 OHTA Riyu,JPN,0.981,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
