Rank,Country,Name Black,Name Red,1,2,3,4,5,6,7,8,9,10,11,12,Lap Balance,Finish Order,Points
1,NED,WILD Kirsten,PIETERS Amy,5,2,5,2,,3,2,3,3,2,5,4,,3,36
2,FRA,COPPONI Clara,le NET Marie,2,1,,,,1,5,5,,,,10,,1,24
3,ITA,PATERNOSTER Letizia,BALSAMO Elisa,1,,,5,,5,,,2,,1,6,,2,20
4,BEL,D'HOORE Jolien,KOPECKY Lotte,,,,3,5,,,,,1,2,2,,4,13
5,DEN,DIDERIKSEN Amalie,LETH Julie,,,,,1,,,,,5,3,,,8,9
6,GBR,BARKER Elinor,EVANS Neah,,,1,,3,,,,,,,,,5,4
7,POL,PIKULIK Daria,PLOSAJ Nikol,,,,1,,,1,,,,,,,12,2
8,RUS,NOVOLODSKAYA Maria,KLIMOVA Diana,,,,,,,3,2,,,,,-20,16,-15
9,USA,VALENTE Jennifer,JASTRAB Megan,,,2,,,,,,,,,,-20,7,-18
10,GER,BRAUSSE Franziska,KLEIN Lisa,,,,,,,,,,,,,-20,9,-20
11,IRL,BOYLAN Lydia,GURLEY Lydia,,,,,,,,,,,,,-20,11,-20
12,UKR,SOLOVEI Ganna,NAHIRNA Anna,,,,,,,,,,,,,-20,15,-20
13,SUI,METTRAUX Lena,WALDIS Andrea,,,,,,,,,,,,,-40,13,-40
14,HKG,LEUNG Bo Yee,PANG Yao,,,,,,,,,,,,,,,
15,JPN,FURUYAMA Kie,NAKAMURA Kisato,,,,,,,,,,,,,,,
16,CHN,WANG Xiaofei,LIU Jiali,,,,,,,,,,,,,,,
17,AUS,CURE Amy,EDMONDSON Annette,,,,,,,,,,,,,,,
,BLR,PIVAVARAVA Palina,SAVENKA Ina,,,,,,,,,,,,,,,
