Rank,Country,Name Black, Name Red,1,2,3,4,5,6,7,8,9,10,11,12,Lab Balance,Finish Order,Points
1,NED - Netherlands,WILD Kirsten,PIETERS Amy,3,5,3,5,5,3,,3,3,,3,,,5,33
2,AUS - Australia,BAKER Georgia,CURE Amy,5,,1,2,,2,5,,5,5,2,4,,3,31
3,DEN - Denmark,DIDERIKSEN Amalie,LETH Julie,,3,,3,,,1,,2,,5,10,,1,24
4,GBR - Great Britain,EVANS Neah,BARKER Elinor,1,,5,,,1,,5,1,,,2,,4,15
5,ITA - Italy,PATERNOSTER Letizia,CONFALONIERI Maria Giulia,2,,,1,,5,2,1,,3,,,,11,14
6,RUS - Russian Federation,BADYKOVA Gulnaz,NOVOLODSKAYA Mariia,,,,,3,,,,,,,6,,2,9
7,BEL - Belgium,KOPECKY Lotte,D'HOORE Jolien,,,2,,,,3,2,,1,,,,7,8
8,POL - Poland,PIKULIK Daria,PIKULIK Wiktoria,,1,,,1,,,,,2,1,,,6,5
9,IRL - Ireland,McCURLEY Shannon,BOYLAN Lydia,,,,,2,,,,,,,,,8,2
10,FRA - France,COPPONI Clara,JEULAND Pascale,,,,,,,,,,,,,,14,2
11,JPN - Japan,KAJIHARA Yumi,FURUYAMA Kie,,2,,,,,,,,,,,,9,0
12,SUI - Switzerland,METTRAUX Lena,SEITZ Aline,,,,,,,,,,,,,,10,0
13,UKR - Ukraine,SOLOVEI Ganna,NAHIRNA Anna,,,,,,,,,,,,,,12,0
14,MEX - Mexico,SALAZAR VAZQUEZ Lizbeth Y.,ARREOLA NAVARRO Sofia,,,,,,,,,,,,,-20,13,-20
15,"HKG - Hong Kong, China",LEUNG Bo Yee,PANG Yao,,,,,,,,,,,,,-40,,DNF
16,NZL - New Zealand,DRUMMOND Michaela,SHEATH Racquel,,,,,,,,,,,,,,,
17,CZE - Czech Republic,HOCHMANN Lucie,KOHOUTKOVA Katerina,,,,,,,,,,,,,,,
18,CAN - Canada,BEVERIDGE Allison,GIBSON Kinley,,,,,,,,,,,,,,,
