rank,name,country,laps down
1,LEE Sze Wing,HKG,
2,D'HOORE Jolien,BEL,
3,STENBERG Anita Yvonne,NOR,
4,ZABELINSKAYA Olga,UZB,
5,BALEISYTE Olivija,LTU,
6,DIDERIKSEN Amalie,DEN,
7,WALDIS Andrea,SUI,
8,EDMONDSTON Holly,NZL,
9,SHARAKOVA Tatsiana,BLR,
10,WILD Kirsten,NED,
11,BEVERIDGE Allison,CAN,
12,KENNY Laura,GBR,
13,SULTANOVA Rinata,KAZ,
14,SALAZAR VAZQUEZ Lizbeth Yareli,MEX,
15,KAJIHARA Yumi,JPN,
16,VALENTE Jennifer,USA,
17,COPPONI Clara,FRA,
18,MARTINS Maria,POR,REL
19,PATERNOSTER Letizia,ITA,DNF
20,PIKULIK Daria,POL,DNF
21,WANG Xiaofei,CHN,DNF
22,BAKER Georgia,AUS,DNF
23,BOYLAN Lydia,IRL,DNF
