Rank,Name,Country,Sprints Won,Finish Order,Lap +,Total
1,KAJIHARA Yumi,JPN,"11, 12, 13, 14",20,20,24
2,BUCHANAN Rushlee,NZL,17,12,20,21
3,SAVENKA Ina,BLR,16,18,20,21
4,DIDERIKSEN Amalie,DEN,,24,20,20
5,BEVERIDGE Allison,CAN,"7, 8, 9, 10, 18, 19, 20, 21, 22",23,,9
6,WILD Kirsten,NED,"6, 23, 25",3,,3
7,PATERNOSTER Letizia,ITA,"5, 24",2,,2
8,ARCHIBALD Katie,GBR,"3, 4",7,,2
9,PIKULIK Daria,POL,26,1,,1
10,EDMONDSON Annette,AUS,2,4,,1
11,STENBERG Anita Yvonne,NOR,1,14,,1
12,McCURLEY Shannon,IRL,,5,,0
13,VALENTE Jennifer,USA,,6,,0
14,SALAZAR VAZQUEZ Lizbeth Y.,MEX,,8,,0
15,WANG Xiaofei,CHN,,9,,0
16,KOPECKY Lotte,BEL,,10,,0
17,MARTINS Maria,POR,,11,,0
18,WALDIS Andrea,SUI,,13,,0
19,USABIAGA BALERDI Ana,ESP,,15,,0
20,BERTHON Laurie,FRA,,16,,0
21,BALEISYTE Olivija,LTU,,17,,0
22,BACIKOVA Alzbeta,SVK,,19,,0
23,HUANG Ting Ying,TPE,,21,,0
24,GONCHAROVA Alexandra,RUS,,22,,0
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
