Rank,Name,Country
1,PATERNOSTER Letizia,ITA
2,EDMONDSON Annette,AUS
3,VALENTE Jennifer,USA
4,WILD Kirsten,NED
5,McCURLEY Shannon,IRL
6,KAJIHARA Yumi,JPN
7,BEVERIDGE Allison,CAN
8,PIKULIK Daria,POL
9,DIDERIKSEN Amalie,DEN
10,MARTINS Maria,POR
11,ARCHIBALD Katie,GBR
12,BERTHON Laurie,FRA
13,BUCHANAN Rushlee,NZL
14,WALDIS Andrea,SUI
15,SALAZAR VAZQUEZ Lizbeth Yareli,MEX
16,SAVENKA Ina,BLR
17,HUANG Ting Ying,TPE
18,WANG Xiaofei,CHN
19,GONCHAROVA Alexandra,RUS
20,USABIAGA BALERDI Ana,ESP
21,BACIKOVA Alzbeta,SVK
22,STENBERG Anita Yvonne,NOR
23,KOPECKY Lotte,BEL
24,BALEISYTE Olivija,LTU
