rank,name,country
1,WILD Kirsten,NED
2,VALENTE Jennifer,USA
3,MARTINS Maria,POR
4,KENNY Laura,GBR
5,FIDANZA Martina,ITA
6,BALEISYTE Olivija,LTU
7,STENBERG Anita Yvonne,NOR
8,USABIAGA BALERDI Ana,ESP
9,BERTEAU Victoire,FRA
10,BACIKOVA Alzbeta,SVK
11,MANLY Alexandra,AUS
12,PIVAVARAVA Palina,BLR
13,PIETRZAK Lucja,POL
14,SEITZ Aline,SUI
15,JOSEPH Amber,BAR
16,REISSNER Lena Charlotte,GER
17,KOHOUTKOVA Katerina,CZE
18,SULTANOVA Rinata,KAZ
19,CHULKOVA Anastasia,RUS
20,HUANG Zhilin,CHN
21,GURLEY Lydia,IRL
22,FURUYAMA Kie,JPN
23,EBERHARDT Verena,AUT
