Rank,Name,Country
1,BARKER Elinor,GBR
2,WILD Kirsten,NED
3,D'HOORE Jolien,BEL
4,BERTHON Laurie,FRA
5,BRAUSSE Franziska,GER
6,BALEISYTE Olivija,LTU
7,JOSEPH Amber,BAR
8,BACIKOVA Alzbeta,SVK
9,MACHACOVA Jarmila,CZE
10,STENBERG Anita Yvonne,NOR
11,USABIAGA BALERDI Irene,ESP
12,GURLEY Lydia,IRL
13,AUGUSTINAS Evgenia,RUS
,DIDERIKSEN Amalie,DEN
,HUANG Ting Ying,TPE
,VALENTE Jennifer,USA
,EBERHARDT Verena,AUT
,TSERAKH Hanna,BLR
,SHEN Shanrong,CHN
,FIDANZA Martina,ITA
,SHEATH Racquel,NZL
,KACZKOWSKA Justyna,POL
,SEITZ Aline,SUI
