rank,Country,Athlete 1,Athlete 2,Lap 1,Total,Speed,Lap 2
1,AUS,McCULLOCH Kaarle,MORTON Stephanie,18.645,32.492,55.398,13.847
2,RUS,SHMELEVA Daria,VOINOVA Anastasiia,18.482,32.59,55.232,14.108
3,GER,WELTE Miriam,HINZE Emma,18.826,32.802,54.875,13.976
4,LTU,MAROZAITE Migle,KRUPECKAITE Simona,19.153,33.278,54.09,14.125
5,MEX,SALAZAR VALLES Jessica,VERDUGO OSUNA Yuli Paola,19.271,33.281,54.085,14.01
6,NED,LAMBERINK Kyra,van RIESSEN Laurine,19.028,33.365,53.949,14.337
7,FRA,CLAIR Sandie,GROS Mathilde,19.191,33.398,53.895,14.207
8,CHN,LIN Junhong,GUO Yufang,18.964,33.765,53.31,14.801
9,ESP,CALVO BARBERO Tania,CASAS ROIGE Helena,19.225,33.802,53.251,14.577
10,POL,KARWACKA Marlena,los Urszula,19.565,33.924,53.06,14.359
11,KOR,KIM Taenam,LEE Hyejin,19.418,33.946,53.025,14.528
12,UKR,STARIKOVA Olena,BASOVA Liubov,19.186,34.238,52.573,15.052
13,USA,GODBY Madalyn,MARQUARDT Mandy,19.762,34.311,52.461,14.549
14,GBR,MARCHANT Katy,WILLIAMSON Victoria,19.167,34.396,52.332,15.229
15,NZL,PODMORE Olivia,ANDREWS Ellesse,19.592,34.436,52.271,14.844
16,HKG,LEE Hoi Yan Jessica,LEE Wai Sze,20.445,34.449,52.251,14.004
17,ITA,FIDANZA Martina,VECE Miriam,20.217,34.779,51.755,14.562

