Country,Athlete 1,Athlete 2,Lap 1,Total,Speed,Lap 2,Athlete 3
MEX,SALAZAR VALLES Jessica,VERDUGO OSUNA Yuli Paola,19.049,33.225,54.176 QB,14.176,
LTU,KRUPECKAITE Simona,MAROZAITE Migle,19.234,33.478,53.767,14.244,
,,,,,,,
GER,HINZE Emma,WELTE Miriam,18.865,32.687,55.068 QB,13.822,
NED,LAMBERINK Kyra,BRASPENNINCX Shanne,19.024,32.941,54.643,13.917,van RIESSEN Laurine
,,,,,,,
RUS,SHMELEVA Daria,VOINOVA Anastasiia,18.424,32.524,55.344 QG,14.1,
FRA,CLAIR Sandie,GROS Mathilde,19.306,33.383,53.92,14.077,
,,,,,,,
AUS,McCULLOCH Kaarle,MORTON Stephanie,18.606,32.368,55.610 QG,13.762,
CHN,CHEN Feifei,LIN Junhong,19.051,33.969,52.989,14.918,GUO Yufang
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
