rank,Name,country,250,total,speed,250-500
1,SHMELEVA Daria,RUS,18.664,33.012,54.526,14.348
2,STARIKOVA Olena,UKR,18.91,33.307,54.043,14.397
3,McCULLOCH Kaarle,AUS,18.842,33.419,53.862,14.577
4,WELTE Miriam,GER,18.862,33.431,53.842,14.569
5,SALAZAR VALLES Jessica,MEX,19.134,33.826,53.214,14.692
6,LAMBERINK Kyra,NED,19.062,33.972,52.985,14.91
7,FRIEDRICH Lea Sophie,GER,19.43,33.997,52.946,14.567
8,VECE Miriam,ITA,19.343,34.247,52.559,14.904
9,LIN Junhong,CHN,,,,
10,Los Urszula,POL,,,,
11,VERDUGO OSUNA Yuli Paola,MEX,,,,
12,ANTONOVA Natalia,RUS,,,,
13,CALVO BARBERO Tania,ESP,,,,
14,MARCHANT Katy,GBR,,,,
15,GRABOSCH Pauline Sophie,GER,,,,
16,CASAS ROIGE Helena,ESP,,,,
17,van de WOUW Hetty,NED,,,,
18,GUO Yufang,CHN,,,,
19,BAYONA PINEDA Martha,COL,,,,
20,ROGOVAYA Ekaterina,RUS,,,,
21,MARQUARDT Mandy,USA,,,,
22,WILLIAMSON Victoria,GBR,,,,
23,DWI PUTRI Crismonita,INA,,,,
24,ANDREWS Ellesse,NZL,,,,
25,du PREEZ Charlene,RSA,,,,
26,LI Yin Yin,HKG,,,,
