rank,Name,country,250,total,speed,250-500
1,353 SHMELEVA Daria,RUS,18.664,33.012,54.526,14.348
2,378 STARIKOVA Olena,UKR,18.91,33.307,54.043,14.397
3,98 McCULLOCH Kaarle,AUS,18.842,33.419,53.862,14.577
4,219 WELTE Miriam,GER,18.862,33.431,53.842,14.569
5,286 SALAZAR VALLES Jessica,MEX,19.134,33.826,53.214,14.692
6,297 LAMBERINK Kyra,NED,19.062,33.972,52.985,14.91
7,214 FRIEDRICH Lea Sophie,GER,19.43,33.997,52.946,14.567
8,249 VECE Miriam,ITA,19.343,34.247,52.559,14.904
9,144 LIN Junhong,CHN,,,,
10,327 Los Urszula,POL,,,,
11,287 VERDUGO OSUNA Yuli Paola,MEX,,,,
12,346 ANTONOVA Natalia,RUS,,,,
13,165 CALVO BARBERO Tania,ESP,,,,
14,197 MARCHANT Katy,GBR,,,,
15,215 GRABOSCH Pauline Sophie,GER,,,,
16,166 CASAS ROIGE Helena,ESP,,,,
17,299 van de WOUW Hetty,NED,,,,
18,142 GUO Yufang,CHN,,,,
19,150 BAYONA PINEDA Martha,COL,,,,
20,352 ROGOVAYA Ekaterina,RUS,,,,
21,388 MARQUARDT Mandy,USA,,,,
22,199 WILLIAMSON Victoria,GBR,,,,
23,228 DWI PUTRI Crismonita,INA,,,,
24,307 ANDREWS Ellesse,NZL,,,,
25,333 du PREEZ Charlene,RSA,,,,
26,225 LI Yin Yin,HKG,,,,
