rank,name,country,250,total,speed,250-500
1,SHMELEVA Daria,RUS,18.982,33.554,53.645,14.572
2,McCULLOCH Kaarle,AUS,19.123,33.556,53.642,14.433
3,WELTE Miriam,GER,18.918,33.598,53.575,14.68
4,STARIKOVA Olena,UKR,19.174,33.674,53.454,14.5
5,LAMBERINK Kyra,NED,18.986,33.798,53.258,14.812
6,SALAZAR VALLES Jessica,MEX,19.315,33.973,52.983,14.658
7,FRIEDRICH Lea Sophie,GER,19.534,34.102,52.783,14.568
8,VECE Miriam,ITA,19.279,34.127,52.744,14.848
9,LIN Junhong,CHN,19.153,34.144,52.718,14.991
10,Los Urszula,POL,19.384,34.26,52.539,14.876
11,VERDUGO OSUNA Yuli Paola,MEX,19.948,34.28,52.509,14.332
12,ANTONOVA Natalia,RUS,19.24,34.296,52.484,15.056
13,CALVO BARBERO Tania,ESP,19.535,34.333,52.428,14.798
14,MARCHANT Katy,GBR,19.337,34.335,52.425,14.998
15,GRABOSCH Pauline Sophie,GER,19.677,34.352,52.399,14.675
16,CASAS ROIGE Helena,ESP,19.492,34.415,52.303,14.923
17,van de WOUW Hetty,NED,19.682,34.518,52.147,14.836
18,GUO Yufang,CHN,19.479,34.58,52.053,15.101
19,BAYONA PINEDA Martha,COL,19.798,34.756,51.79,14.958
20,ROGOVAYA Ekaterina,RUS,19.387,34.765,51.776,15.378
21,MARQUARDT Mandy,USA,20.208,35.049,51.357,14.841
22,WILLIAMSON Victoria,GBR,19.603,35.069,51.327,15.466
23,DWI PUTRI Crismonita,INA,20.429,35.182,51.163,14.753
24,ANDREWS Ellesse,NZL,20.537,35.439,50.792,14.902
25,du PREEZ Charlene,RSA,20.713,36.235,49.676,15.522
26,LI Yin Yin,HKG,20.861,36.505,49.308,15.644
