rank,name,time
1,SCHURTER Nino,1:27:05
2,FLUECKIGER Mathias,01:27:35
3,TEMPIER Stephane,01:27:36
4,CAROD Titouan,01:27:37
5,KERSCHBAUMER Gerhard,01:27:38
6,CINK Ondrej,01:27:39
7,KORETZKY Victor,01:27:40
8,SARROU Jordan,01:27:41
9,FRISCHKNECHT Andri,01:27:42
10,AVANCINI Henrique,01:27:43
11,MAROTTE Maxime,01:27:44
12,BRAIDOT Luca,01:27:45
13,FUMIC Manuel,01:27:46
14,FINI CARSTENSEN Sebastian,01:27:47
15,VOGEL Florian,01:27:48
16,ULLOA AREVALO Jose Gerardo,01:27:49
17,BRAIDOT Daniele,01:27:50
18,SCHUERMANS Jens,01:27:51
19,STIRNEMANN Matthias,01:27:52
20,COOPER Anton,01:27:53
21,HAEGSTAD Erik,01:27:54
22,COLLEDANI Nadir,01:27:55
23,INDERGAND Reto,01:27:56
24,McCONNELL Daniel,01:27:57
25,FOIDL Maximilian,01:27:58
26,VALERO SERRANO David,01:27:59
27,BOUCHARD Leandre,01:27:60
28,WAWAK Bartlomiej,01:27:61
29,COLOMA NICOLAS Carlos,01:27:62
30,HAIMY Shlomi,01:27:63
31,DINA Marton,01:27:64
32,HARING Martin,01:27:65
33,SINTSOV Anton,01:27:66
34,DISERA Peter,01:27:67
35,HATHERLY Alan,01:27:68
36,SCHWARZBAUER Luca,01:27:69
37,LITSCHER Thomas,01:27:70
38,FERGUSON Grant,01:27:71
39,RAGGL Gregor,01:27:72
40,FORSTER Lars,01:27:73
41,COCUZZI Luiz Henrique,01:27:74
42,LOO Martin,01:27:75
43,BERTOLINI Gioele,01:27:76
44,EGGER Georg,01:27:77
45,RODRIGUEZ GUEDE Pablo,01:27:78
46,BLUMS Martins,01:27:79
47,YAMAMOTO Kohei,01:27:80
48,KULHAVY Jaroslav,01:27:81
49,VROUWENVELDER Luke,01:27:82
50,SCHULTE-LUNZUM Markus,01:27:83
51,IVORY Cameron,01:27:84
52,FONSECA URENA Andrey,01:27:85
53,PALUMBY Zsombor,01:27:86
54,HERRERA ARROYO Carlos,01:27:87
55,TUCKNOTT Reece,01:27:88
56,ZWIEHOFF Ben,01:27:89
57,SWENSON Keegan,01:27:90
58,VASTL Jan,-1LAP
59,CASTANEDA MONSALVE Fabio Hernando,-1LAP
60,L'ESPERANCE Andrew,-1LAP
61,TREZZA de PAIVA Sherman,-1LAP
62,FORTIER Marc Andre,-1LAP
63,SOTO Catriel,-1LAP
64,QUESADA CASTILLO Jonathan Josue,-1LAP
65,BOTERO VILLEGAS Jhonatan,-1LAP
66,OLIVER Ben,-1LAP
67,FILATOV Ivan,-1LAP
68,WITHAAR Jan,-1LAP
69,DAVOUST Stephan,-1LAP
70,BELHUMEUR Felix,-1LAP
71,PARTI Andras,-1LAP
72,MACIAS Jorge Alvaro,-1LAP
73,FINSTERWALD Russell,-2LAP
74,GOTARDELO MULLER Guilherme,-2LAP
75,MIRANDA MALDONADO Sebastian Alejan.,-2LAP
76,JAYNE Sebastian,-2LAP
77,GAGNE Raphael,-2LAP
78,DONIZETE VALERIANO Rubens,-2LAP
79,SAMPAIO de OLIVEIRA LAGO Kennedi,-2LAP
80,GASCO Dario,-2LAP
81,WALLACE Cory,-3LAP
82,OMARSSON Ingvar,-4LAP
83,MONROY Juan Fernando,-4LAP
84,WILD Alex,-4LAP
-,PANHUYZEN Kevin,DNF5
-,SKARNITZL Jan,DNF5
-,MANTECON GUTIERREZ Sergio,DNF5
-,VADER Milan,DNF3
-,MARKT Karl,DNF3
-,MIRANDA JAIME Jaime,DNF3
-,SESSLER Guy,DNF3
-,RAMOS GAMEZ Milton,DNF2
-,GRIOT Thomas,DNF0
