rank,name,time
1,FERRAND PREVOT Pauline,1:27:33
2,LECHNER Eva,01:30:34
3,McCONNELL Rebecca,01:30:34
4,FREI Sina,01:31:19
5,SHORT Isla,01:31:50
6,NEFF Jolanda,01:32:19
7,BELOMOINA Yana,01:33:01
8,WLOSZCZOWSKA Maja,01:33:17
9,ZAKELJ Tanja,01:33:45
10,KELLER Alessandra,01:33:58
11,CABELICKA Jitka,01:35:09
12,DEGN Malene,01:35:22
13,RICHARDS Evie,01:35:44
14,GERAULT Lena,01:36:09
15,INDERGAND Linda,01:36:17
16,KOLLER Nicole,01:36:24
17,HUCK Erin,01:36:25
18,RIEDER Nadine,01:36:58
19,SOLUS-MISKOWICZ Katarzyna,01:37:11
20,LOIV Janika,01:38:00
21,TAUBER Anne,01:38:08
22,GARCIA MARTINEZ Rocio del Alba,01:38:13
23,CAMPUZANO CHAVEZ PEON Daniela,01:38:59
24,OSL Elisabeth,01:39:06
25,MICHIELS Githa,01:39:47
26,GOMEZ VILLAFANE Sofia,01:39:54
27,BATTY Emily,01:40:04
28,JACKSON Jennifer,01:40:17
29,SMITH Haley,-1LAP
30,REDECKER Cherie,-1LAP
31,CZECZINKAROVA Jana,-1LAP
32,DAUBERMANN Antonia,-1LAP
33,ROCHETTE Maghalie,-1LAP
34,BRESSET Julie,-1LAP
35,STEPANOVA Karla,-1LAP
36,von BERSWORDT Sophie,-1LAP
37,LILL Candice,-1LAP
38,BRANDAU Elisabeth,-1LAP
39,MEDVEDEVA Vera,-1LAP
40,MOTTUS Mari-Liis,-1LAP
41,BENKO Barbara,-2LAP
42,KESEG STEVKOVA Janka,-2LAP
43,AMES Kim Anika,-2LAP
44,HEIGL Nadja,-2LAP
45,GOULAO HENRIQUE Raiza,-2LAP
46,WOJTYLA Gabriela,-2LAP
47,SLOBODYAN Iryna,-2LAP
48,STRAUSS Mariske,-2LAP
49,SOARES CANDIDO Leticia Jaqueline,-2LAP
50,ROJAS CUBERO Adriana Maria,-3LAP
51,PODGORSKA Aleksandra,-3LAP
52,VEGA TORRES Monica,-3LAP
53,CRNOGORAC Jovana,-3LAP
54,CASADEY Josefina,-3LAP
55,MEIER Maaris,-3LAP
-,COURTNEY Kate,DNF2
-,RISSVEDS Jenny,DNF2
-,TERPSTRA Anne,DNF1
-,SCHAUS Fabienne,DNF0
-,LANGVAD Annika,DNS
