rank,name,time
1,van der BREGGEN Anna,4:09:57
2,van VLEUTEN Annemiek,04:11:17
3,LONGO BORGHINI Elisa,04:11:17
4,VOS Marianne,04:11:58
5,LIPPERT Liane,04:11:58
6,DEIGNAN Elizabeth,04:11:58
7,NIEWIADOMA Katarzyna,04:11:58
8,LUDWIG Cecilie Uttrup,04:12:38
9,BRENNAUER Lisa,04:13:05
10,REUSSER Marlen,04:13:05
11,STEPHENS Lauren,04:13:05
12,van den BROEK-BLAAK Chantal,04:13:05
13,CORDON RAGOT Audrey,04:13:05
14,BUJAK Eugenia,04:13:05
15,FISHER-BLACK Niamh,04:13:05
16,LELEIVYTE Rasa,04:13:05
17,PINTAR Urska,04:13:05
18,GARCIA CANELLAS Margarita Victo,04:13:05
19,van DIJK Ellen,04:13:05
20,MUZIC Evita,04:13:05
21,YONAMINE Eri,04:13:05
22,HARVEY Mikayla,04:13:05
23,SANTESTEBAN GONZALEZ Ane,04:13:05
24,AALERUD Katrine,04:13:05
25,SHACKLEY Anna,04:13:05
26,WILES Tayler,04:13:05
27,LEVENEZ Sandra,04:13:05
28,KENNEDY Lucy,04:13:05
29,DOEBEL-HICKOK Krista,04:13:05
30,JACKSON Alison,04:14:46
31,RAGUSA Katia,04:14:48
32,CHAPMAN Brodie,04:15:47
33,CAVALLI Marta,04:17:22
34,PIETERS Amy,04:19:26
35,VOLLERING Demi,04:19:26
36,BARNES Hannah,04:19:26
37,RIVERA Coryn,04:20:13
38,KERN Spela,04:20:13
39,SIERRA CANADILLA Arlenis,04:20:13
40,SHAPIRA Omer,04:20:13
41,LABOUS Juliette,04:20:13
42,POIDEVIN Sara,04:20:13
43,GAREEVA Aigul,04:21:47
44,KIESENHOFER Anna,04:21:50
45,GUDERZO Tatiana,04:22:54
46,WILLIAMS Georgia,04:23:58
47,CAMPBELL Teniel,04:23:58
48,LACH Marta,04:23:58
49,NOVOLODSKAYA Maria,04:23:58
50,DEMEY Valerie,04:23:58
51,NEYLAN Rachel,04:23:58
52,NILSSON Hanna,04:23:58
53,VANDENBULCKE Jesse,04:23:58
54,VAS Kata Blanka,04:23:58
55,PATINO BEDOYA Paula Andrea,04:23:58
56,MOOLMAN-PASIO Ashleigh,04:23:58
57,VYSOTSKA Ievgeniia,04:23:58
58,CHABBEY Elise,04:23:58
59,KIRCHMANN Leah,04:23:58
60,HENDERSON Anna,04:23:58
61,JORGENSEN Emma Cecilie Norsgaard,04:23:58
62,MAJERUS Christine,04:23:58
63,BANKS Elizabeth,04:23:58
64,NOSKOVA Nikola,04:23:58
65,MAGNALDI Erica,04:23:58
66,CANUEL Karol-Ann,04:23:58
67,PALADIN Soraya,04:23:58
68,ROY Sarah,04:24:40
69,NEBEN Amber Leone,04:25:05
70,ANDERSEN Susanne,04:25:10
71,BORGLI Stine,04:25:10
72,GUILMAN Victorie,04:25:10
73,MAURER Melanie,04:25:50
74,NEUMANOVA Tereza,04:28:00
75,KOCH Franziska,04:30:05
76,MACHACOVA Jarmila,04:31:09
77,KLIMOVA Diana,04:31:15
78,BIRIUKOVA Yuliia,04:31:17
79,MARTIN MARTIN Sara,04:31:17
80,JASINSKA Malgorzata,04:31:19
81,GUTIERREZ ARZALUZ Ariadna,04:32:54
82,LAIZANE Lija,04:32:54
83,UPEGUI QUEVEDO Carolina,04:32:54
