1,,6,van VLEUTEN Annemiek,,,4:06:05
2,,1,van der BREGGEN Anna,,,+2:15
3,,28,SPRATT Amanda,,,+2:28
4,,29,DYGERT Chloe,,,+3:24
5,,13,LONGO BORGHINI Elisa,,,+4:45
6,,8,VOS Marianne,,,+5:20
7,,10,BASTIANELLI Marta,,,+5:20
8,,73,MOOLMAN-PASIO Ashleigh,,,+5:20
9,,16,BRENNAUER Lisa,,,+5:20
10,,32,RIVERA Coryn,,,+5:20
11,,90,MAJERUS Christine,,,+5:20
12,,87,SIERRA Arlenis,,,+5:20
13,,41,DIDERIKSEN Amalie,,,+5:20
14,,36,de VUYST Sofie,,,+5:20
15,,95,FAHLIN Emilia,,,+5:20
16,,49,JACKSON Alison,,,+5:20
17,,81,CORDON RAGOT Audrey,,,+5:20
18,,105,AMIALIUSIK Alena,,,+5:20
19,,5,PIETERS Amy,,,+5:20
20,,119,PATINO BEDOYA Paula Andrea,,,+5:20
21,,113,CHABBEY Elise,,,+5:20
22,,63,HENDERSON Anna,,,+5:20
23,,56,NIEWIADOMA Katarzyna,,,+5:20
24,,11,CECCHINI Elena,,,+5:20
25,,65,GARCIA CANELLAS Margarita Victo,,,+5:20
26,,70,SANTESTEBAN GONZALEZ Ane,,,+5:20
27,,25,HOSKING Chloe,,,+5:20
28,,3,BRAND Lucinda,,,+5:20
29,,76,ANDERSEN Susanne,,,+5:20
30,,43,LUDWIG Cecilie Uttrup,,,+5:20
31,,62,DEIGNAN Elizabeth,,,+5:20
32,,12,GUDERZO Tatiana,,,+5:20
33,,4,MACKAIJ Floortje,,,+5:20
34,,114,REUSSER Marlen,,,+5:31
35,,68,MERINO CORTAZAR Eider,,,+5:31
36,,80,BIANNIC Aude,,,+5:31
37,,134,NOSKOVA Nikola,,,+5:31
38,,33,THOMAS Leah,,,+5:31
39,,23,CHAPMAN Brodie,,,+5:31
40,,75,AALERUD Katrine,,,+5:36
41,,26,KENNEDY Lucy,,,+5:38
42,,51,POIDEVIN Sara,,,+5:38
43,,2,BLAAK Chantal,,,+5:38
44,,34,WILES Tayler,,,+5:38
45,,100,BUJAK Eugenia,,,+5:46
46,,47,CANUEL Karol-Ann,,,+5:51
47,,9,BALSAMO Elisa,,,+5:56
48,,20,KOPPENBURG Clara,,,+6:25
49,,18,KLEIN Lisa,,,+6:43
50,,14,PALADIN Soraya,,,+7:02
51,,79,HEINE Vita,,,+8:49
52,,110,CHURSINA Anastasiia,,,+8:55
53,,111,NOVOLODSKAYA Maria,,,+9:02
54,,107,SHARAKOVA Tatsiana,,,+9:51
55,,109,SHEKEL Olha,,,+9:51
56,,7,VOLLERING Demi,,,+9:51
57,,98,NORDEN Lisa,,,+9:53
58,,74,van de WINKEL Joanna,,,+9:53
59,,116,HARRIS Ella,,,+9:54
60,,122,SHAPIRA Omer,,,+9:53
61,,42,LETH Julie,,,+9:53
62,,61,BARNES Hannah,,,+9:53
63,,60,BARNES Alice,,,+9:53
64,,53,JASINSKA Malgorzata,,,+9:53
65,,84,LABOUS Juliette,,,+9:53
66,,21,LIPPERT Liane,,,+9:53
67,,35,WINDER Ruth,,,+9:53
68,,44,MATHIESEN Pernille,,,+9:53
69,,124,CAMPBELL Teniel,,,+12:55
70,,19,KOCH Franziska,,,+12:55
71,,31,HALL Katharine,,,+12:55
72,,106,KOLESAVA Anastasiya,,,+12:55
73,,39,van den STEEN Kelly,,,+12:55
74,,69,OYARBIDE JIMENEZ Lourdes,,,+13:50
75,,128,TAZREITER Angelika,,,+13:50
76,,15,PATERNOSTER Letizia,,,+13:50
77,,40,VANDENBULCKE Jesse,,,+18:08
78,,132,MACHACOVA Jarmila,,,+19:13
79,,54,LACH Marta,,,+19:55
80,,64,JUNIPER Nicola,,,+23:47
81,,118,MORENO CANCHON Blanca Liliana,,,+23:47
82,,52,BRZEZNA Monika,,,+23:47
83,,126,LELEIVYTE Rasa,,,+23:47
84,,92,GUTIERREZ ARZALUZ Ariadna,,,+23:47
85,,83,ERAUD Severine,,,+23:47
86,,82,DUVAL Eugenie,,,+23:47
87,,94,SANTOYO PEREZ Brenda Andrea,,,+23:47
