rank;num;name;country;100;100-200;speed;200
1;287;LAVREYSEN Harrie;NED;4.596 (1);9.253;77813;4.657 (1)
2;286;HOOGLAND Jeffrey;NED;4.641 (2);9.322;77237;4.681 (2)
3;315;RUDYK Mateusz;POL;4.687 (3);9.434;76320;4.747 (3)
4;329;DMITRIEV Denis;RUS;4.737 (9);9.522;75614;4.785 (4)
5;278;AWANG Mohd Azizulhasni;MAS;4.720 (6);9.548;75408;4.828 (8)
6;358;PAUL Nicholas;TTO;4.702 (4);9.556;75345;4.854 (14)
;188;KENNY Jason;GBR;4.761 (17);9.561;75306;4.800 (5)
;261;NITTA Yudai;JPN;4.737 (9);9.562;75298;4.825 (7)
;167;CALEYRON Quentin;FRA;4.749 (15);9.564;75282;4.815 (6)
;201;BOTTICHER Stefan;GER;4.728 (7);9.568;75251;4.840 (9)
;284;BUCHLI Matthijs;NED;4.729 (8);9.575;75196;4.846 (11)
;177;VIGIER Sebastien;FRA;4.746 (14);9.595;75039;4.849 (12)
;257;FUKAYA Tomohiro;JPN;4.713 (5);9.607;74945;4.894 (23)
;280;SAHROM Muhammad Shah Firdaus;MAS;4.738 (11);9.609;74930;4.871 (16)
;303;WEBSTER Sam;NZL;4.770 (18);9.615;74883;4.845 (10)
;90;HART Nathan;AUS;4.740 (12);9.624;74813;4.884 (19)
;94;RICHARDSON Matthew;AUS;4.776 (19);9.628;74782;4.852 (13)
;229;SZALONTAY Sandor;HUN;4.745 (13);9.65;74611;4.905 (24)
;183;CARLIN Jack;GBR;4.786 (21);9.659;74542;4.873 (17)
;161;PERALTA Juan;ESP;4.811 (24);9.668;74472;4.857 (15)
;353;TJON EN FA Jair;SUR;4.752 (16);9.668;74472;4.916 (26)
;137;ZHOU Yu;CHN;4.785 (20);9.674;74426;4.889 (21)
;144;QUINTERO CHAVARRO Kevin Santiago;COL;4.797 (22);9.682;74365;4.885 (20)
;135;XU Chao;CHN;4.802 (23);9.693;74280;4.891 (22)
;288;LIGTLEE Sam;NED;4.827 (26);9.704;74196;4.877 (18)
;302;MITCHELL Ethan;NZL;4.838 (28);9.753;73823;4.915 (25)
;356;HSIEH Nien Hsing;TPE;4.830 (27);9.764;73740;4.934 (28)
;275;LENDEL Vasilijus;LTU;4.813 (25);9.765;73733;4.952 (29)
;151;KELEMEN Pavel;CZE;4.851 (30);9.784;73590;4.933 (27)
;222;LAW Tsz Chun;HKG;4.843 (29);9.807;73417;4.964 (30)
;150;CECHMAN Martin;CZE;4.853 (31);9.835;73208;4.982 (31)
;145;RAMIREZ MORALES Santiago;COL;4.899 (32);9.936;72464;5.037 (33)
;279;MOHD ZONIS Muhammad Fadhil;MAS;4.951 (33);9.945;72398;4.994 (32)
;326;SPIES Jean;RSA;5.046 (34);10.184;70699;5.138 (34)
;339;YAKUSHEVSKIY Pavel;RUS;DNF;DNF;DNF;DNF
