1,,5,van der BREGGEN Anna,,,4:09:57
2,,1,van VLEUTEN Annemiek,,,+1:20
3,,12,LONGO BORGHINI Elisa,,,+1:20
4,,8,VOS Marianne,,,+2:01
5,,21,LIPPERT Liane,,,+2:01
6,,46,DEIGNAN Elizabeth,,,+2:01
7,,52,NIEWIADOMA Katarzyna,,,+2:01
8,,41,LUDWIG Cecilie Uttrup,,,+2:41
9,,16,BRENNAUER Lisa,,,+3:08
10,,117,REUSSER Marlen,,,+3:08
11,,34,STEPHENS Lauren,,,+3:08
12,,4,van den BROEK-BLAAK Chantal,,,+3:08
13,,67,CORDON RAGOT Audrey,,,+3:08
14,,77,BUJAK Eugenia,,,+3:08
15,,72,FISHER-BLACK Niamh,,,+3:08
16,,111,LELEIVYTE Rasa,,,+3:08
17,,79,PINTAR Urska,,,+3:08
18,,56,GARCIA CANELLAS Margarita Victo,,,+3:08
19,,6,van DIJK Ellen,,,+3:08
20,,71,MUZIC Evita,,,+3:08
21,,139,YONAMINE Eri,,,+3:08
22,,73,HARVEY Mikayla,,,+3:08
23,,60,SANTESTEBAN GONZALEZ Ane,,,+3:08
24,,95,AALERUD Katrine,,,+3:08
25,,48,SHACKLEY Anna,,,+3:08
26,,35,WILES Tayler,,,+3:08
27,,70,LEVENEZ Sandra,,,+3:08
28,,26,KENNEDY Lucy,,,+3:08
29,,30,DOEBEL-HICKOK Krista,,,+3:08
30,,83,JACKSON Alison,,,+4:49
31,,15,RAGUSA Katia,,,+4:51
32,,24,CHAPMAN Brodie,,,+5:50
33,,9,CAVALLI Marta,,,+7:25
34,,3,PIETERS Amy,,,+9:29
35,,7,VOLLERING Demi,,,+9:29
36,,45,BARNES Hannah,,,+9:29
37,,33,RIVERA Coryn,,,+10:16
38,,78,KERN Spela,,,+10:16
39,,75,SIERRA CANADILLA Arlenis,,,+10:16
40,,133,SHAPIRA Omer,,,+10:16
41,,69,LABOUS Juliette,,,+10:16
42,,85,POIDEVIN Sara,,,+10:16
43,,92,GAREEVA Aigul,,,+11:50
44,,112,KIESENHOFER Anna,,,+11:53
45,,11,GUDERZO Tatiana,,,+12:57
46,,74,WILLIAMS Georgia,,,+14:01
47,,131,CAMPBELL Teniel,,,+14:01
48,,51,LACH Marta,,,+14:01
49,,94,NOVOLODSKAYA Maria,,,+14:01
50,,61,DEMEY Valerie,,,+14:01
51,,27,NEYLAN Rachel,,,+14:01
52,,102,NILSSON Hanna,,,+14:01
53,,66,VANDENBULCKE Jesse,,,+14:01
54,,119,VAS Kata Blanka,,,+14:01
55,,129,PATINO BEDOYA Paula Andrea,,,+14:01
56,,91,MOOLMAN-PASIO Ashleigh,,,+14:01
57,,89,VYSOTSKA Ievgeniia,,,+14:01
58,,115,CHABBEY Elise,,,+14:01
59,,84,KIRCHMANN Leah,,,+14:01
60,,47,HENDERSON Anna,,,+14:01
61,,39,JORGENSEN Emma Cecilie Norsgaard,,,+14:01
62,,106,MAJERUS Christine,,,+14:01
63,,43,BANKS Elizabeth,,,+14:01
64,,123,NOSKOVA Nikola,,,+14:01
65,,13,MAGNALDI Erica,,,+14:01
66,,82,CANUEL Karol-Ann,,,+14:01
67,,14,PALADIN Soraya,,,+14:01
68,,28,ROY Sarah,,,+14:43
69,,32,NEBEN Amber Leone,,,+15:08
70,,96,ANDERSEN Susanne,,,+15:13
71,,97,BORGLI Stine,,,+15:13
72,,68,GUILMAN Victorie,,,+15:13
73,,116,MAURER Melanie,,,+15:53
74,,122,NEUMANOVA Tereza,,,+18:03
75,,19,KOCH Franziska,,,+20:08
76,,121,MACHACOVA Jarmila,,,+21:12
77,,93,KLIMOVA Diana,,,+21:18
78,,87,BIRIUKOVA Yuliia,,,+21:20
79,,58,MARTIN MARTIN Sara,,,+21:20
80,,49,JASINSKA Malgorzata,,,+21:22
81,,135,GUTIERREZ ARZALUZ Ariadna,,,+22:57
82,,141,LAIZANE Lija,,,+22:57
83,,130,UPEGUI QUEVEDO Carolina,,,+22:57
