rank;name;country;time;speed
1;99 MORTON Stephanie;AUS;11.397;63.175
2;387 GODBY Madalyn;USA;0.179;
1;223 LEE Wai Sze;HKG;11.297;63.734
2;285 GAXIOLA GONZALEZ Luz Daniela;MEX;0.221;
1;180 GROS Mathilde;FRA;11.7;61.538
2;280 KRUPECKAITE Simona;LTU;0.226;
1;214 FRIEDRICH Lea Sophie;GER;11.311;63.655
2;197 MARCHANT Katy;GBR;0.133;
1;165 CALVO BARBERO Tania;ESP;11.551;62.332
2;353 SHMELEVA Daria;RUS;REL;
1;300 van RIESSEN Laurine;NED;11.372;63.313
2;98 McCULLOCH Kaarle;AUS;0.049;
1;354 VOINOVA Anastasiia;RUS;11.387;63.23
2;216 HINZE Emma;GER;0.013;
1;378 STARIKOVA Olena;UKR;11.225;64.143
2;311 HANSEN Natasha;NZL;0.08;
