Country,Athelete 1,Athlete 2,Athlete 3,Athlete 4,1000,2000,3000,Time,1000-2000,2000-3000,3000-4000,Speed
USA - United States,VALENTE Jennifer,DYGERT Chloe,WHITE Emma,WILLIAMS Lily,1:06.986 (1),2:08.355 (2),3:09.635 (1),04:11.23,1:01.369 (6),1:01.280 (2),1:01.594 (2),57318
GBR - Great Britain,BARKER Elinor,ARCHIBALD Katie,DICKINSON Eleanor,EVANS Neah,1:07.497 (2),2:08.170 (1),3:10.916 (4),04:11.87,1:00.673 (2),1:02.746 (7),1:00.955 (1),57172
CAN - Canada,BEVERIDGE Allison,DUEHRING Jasmin,FOREMAN-MACKEY Annie,SIMMERLING Georgia,1:08.083 (3),2:09.230 (4),3:10.888 (3),04:12.73,1:01.147 (3),1:01.658 (5),1:01.840 (3),56978
NZL - New Zealand,BOTHA Bryony,BUCHANAN Rushlee,JAMES Kirstie,NIELSEN Jaime,1:08.706 (5),2:10.015 (5),3:11.739 (6),04:14.38,1:01.309 (5),1:01.724 (6),1:02.644 (5),56608
AUS - Australia,BAKER Georgia,ANKUDINOFF Ashlee,EDMONDSON Annette,PLOUFFE Maeve,1:08.961 (7),2:10.221 (6),3:11.467 (5),04:14.93,1:01.260 (4),1:01.246 (1),1:03.467 (6),56485
ITA - Italy,PATERNOSTER Letizia,ALZINI Martina,BALSAMO Elisa,VALSECCHI Silvia,1:09.424 (9),2:11.618 (7),3:13.149 (7),04:15.25,1:02.194 (7),1:01.531 (4),1:02.106 (4),56414
GER - Germany,BRAUSSE Franziska,BRENNAUER Lisa,KLEIN Lisa,STOCK Gudrun,1:08.268 (4),2:08.519 (3),3:09.907 (2),04:15.48,1:00.251 (1),1:01.388 (3),1:05.570 (8),56365
IRL - Ireland,SHARPE Alice,GILLESPIE Lara,GRIFFIN Mia,MURPHY Kelly,1:09.763 (10),2:12.680 (10),3:16.807 (10),04:21.37,1:02.917 (10),1:04.127 (10),1:04.561 (7),55095
FRA - France,COPPONI Clara,DEMAY Coralie,FORTIN Valentine,le NET Marie,1:08.884 (6),2:11.663 (8),3:15.546 (8),04:21.42,1:02.779 (8),1:03.883 (8),1:05.871 (10),55084
POL - Poland,D'HOORE Jolien,KOPECKY Lotte,BOSSUYT Shari,CROKET Gilke,1:09.076 (8),2:11.991 (9),3:15.918 (9),04:21.70,1:02.915 (9),1:03.927 (9),1:05.782 (9),55025
BEL - Belgium,PIKULIK Daria,PAWLOWSKA Katarzyna,PIETRZAK Lucja,PLOSAJ Nikol,1:10.349 (11),2:14.412 (11),3:19.699 (11),04:26.38,1:04.063 (11),1:05.287 (11),1:06.681 (11),54058
BLR - Belarus,PIVAVARAVA Palina,SALAUYEVA Aksana,SAVENKA Ina,SAVENKA Karalina,1:11.156 (12),2:16.033 (12),3:22.638 (12),04:33.22,1:04.877 (12),1:06.605 (12),1:10.585 (12),52704
