rank,country,Athlete 1,Athlete 2,Lap 1,Total,speed,Lap 2
,RUS,SHMELEVA Daria,VOINOVA Anastasiia,18.518 (1),32.461 (1),55451,13.943 (6)
,CHN - China,CHEN Feifei,ZHONG Tianshi,18.882 (5),32.580 (2),55249,13.698 (1)
,AUS - Australia,McCULLOCH Kaarle,MORTON Stephanie,18.906 (6),32.696,55053,13.790 (2)
,CAN - Canada,GENEST Lauriane,MITCHELL Kelsey,19.007 (8),32.829 (4),54830,13.822 (3)
,GER - Germany,GRABOSCH Pauline Sophie,FRIEDRICH Lea Sophie,18.935 (7),32.840 (5),54811,13.905 (5)
,MEX - Mexico,SALAZAR VALLES Jessica,GAXIOLA GONZALEZ Luz Daniela,18.826 (4),32.923 (6),54673,14.097 (9)
,NED - Netherlands,LAMBERINK Kyra,van der PEET Steffie,18.800 (3),32.929 (7),54663,14.129 (10)
,POL - Poland,KARWACKA Marlena,LOS Urszula,19.055 (11),32.953 (8),54623,13.898 (4)
,LTU - Lithuania,MAROZAITE Migle,KRUPECKAITE Simona,19.012 (9),33.060 (9),54446,14.048 (8)
,NZL - New Zealand,PODMORE Olivia,HANSEN Natasha,19.221 (12),33.184 (10),54243,13.963 (7)
,ESP - Spain,CALVO BARBERO Tania,CASAS ROIGE Helena,19.271 (13),33.816 (11),53229,15.166 (14)
,COL - Colombia,GAVIRIA RENDON Juliana,BAYONA PINEDA Martha,19.590 (14),33.826 (12),53214,14.545 (13)
,KOR - Republic of Korea,KIM Soohyun,LEE Hyejin,19.776 (15),34.171 (13),52676,14.236 (11)
,UKR - Ukraine,STARIKOVA Olena,BASOVA Liubov,19.047 (10),34.213 (14),52612,14.395 (12)
,ITA - Italy,VECE Miriam,BISSOLATI Elena,18.752 (2),34.914 (15),51555,16.162 (15)
