rank,name,country,250,total,speed,250-500
1,FRIEDERICH Lea Sophie,GER,19.203 (9),33.197,54222,13.994 (1)
2,215 GRABOSCH Pauline Sophie,GER,19.012 (3),33.262,54116,14.250 (2)
3,282 SALAZAR VALLES Jessica,MEX,19.027 (4),33.299,54056,14.272 (3)
4,254 VECE Miriam,ITA,18.927 (2),33.41,53876,14.483 (9)
5,345 SHMELEVA Daria,RUS,19.134 (7),33.47,53780,14.336 (5)
6,292 LAMBERINK Kyra,NED,18.804 (1),33.521,53698,14.717 (11)
7,346 VOINOVA Anastasiia,RUS,19.263 (10),33.55,53651,14.287 (4)
8,319 LOS Urszula,POL,19.275 (11),33.655,53484,14.380 (7)
9,363 STARIKOVA Olena,UKR,19.421 (14),33.778,53289,14.357 (6)
10,281 GAXIOLA GONZALEZ Luz Daniela,MEX,19.350 (13),33.87,53144,14.520 (10)
11,344 ROGOVAYA Ekaterina,RUS,19.143 (8),33.988,52960,14.845 (14)
12,294 van der PEET Steffie,NED,19.679 (15),34.064,52842,14.385 (8)
13,340 ANTONOVA Natalia,RUS,19.132 (5),34.074,52826,14.942 (18)
14,100 McCULLOCH Kaarle,AUS,19.294 (12),34.139,52726,14.845 (14)
15,164 CASAS ROIGE Helena,ESP,19.715 (16),34.586,52044,14.871 (16)
16,140 LIN Junhong,CHN,19.133 (6),34.711,51857,15.578 (21)
17,147 GAVIRIA RENDON Juliana,COL,19.811 (17),34.828,51683,15.017 (19)
18,142 ZHANG Linyin,CHN,20.068 (18),34.856,51641,14.788 (12)
19,131 ORBAN Sarah,CAN,20.176 (19),35.092,51294,14.916 (17)
20,327 du PREEZ Charlene,RSA,20.353 (21),35.183,51161,14.830 (13)
21,272 KIM Soohyun,KOR,20.197 (20),35.284,51015,15.087 (20)
