1,,1,FERRAND PREVOT Pauline,,,1:27:33
2,,9,LECHNER Eva,,,+3:01
3,,4,McCONNELL Rebecca,,,+3:01
4,,6,FREI Sina,,,+3:46
5,,19,SHORT Isla,,,+4:17
6,,5,NEFF Jolanda,,,+4:46
7,,10,BELOMOINA Yana,,,+5:28
8,,22,WLOSZCZOWSKA Maja,,,+5:44
9,,15,ZAKELJ Tanja,,,+6:12
10,,33,KELLER Alessandra,,,+6:25
11,,13,CABELICKA Jitka,,,+7:36
12,,30,DEGN Malene,,,+7:49
13,,24,RICHARDS Evie,,,+8:11
14,,43,GERAULT Lena,,,+8:36
15,,27,INDERGAND Linda,,,+8:44
16,,31,KOLLER Nicole,,,+8:51
17,,20,HUCK Erin,,,+8:52
18,,39,RIEDER Nadine,,,+9:25
19,,55,SOLUS-MISKOWICZ Katarzyna,,,+9:38
20,,8,LOIV Janika,,,+10:27
21,,11,TAUBER Anne,,,+10:35
22,,18,GARCIA MARTINEZ Rocio del Alba,,,+10:40
23,,12,CAMPUZANO CHAVEZ PEON Daniela,,,+11:26
24,,44,OSL Elisabeth,,,+11:33
25,,7,MICHIELS Githa,,,+12:14
26,,35,GOMEZ VILLAFANE Sofia,,,+12:21
27,,26,BATTY Emily,,,+12:31
28,,41,JACKSON Jennifer,,,+12:44
29,,23,SMITH Haley,,,-1LAP
30,,29,REDECKER Cherie,,,-1LAP
31,,49,CZECZINKAROVA Jana,,,-1LAP
32,,56,DAUBERMANN Antonia,,,-1LAP
33,,64,ROCHETTE Maghalie,,,-1LAP
34,,38,BRESSET Julie,,,-1LAP
35,,48,STEPANOVA Karla,,,-1LAP
36,,34,von BERSWORDT Sophie,,,-1LAP
37,,21,LILL Candice,,,-1LAP
38,,17,BRANDAU Elisabeth,,,-1LAP
39,,50,MEDVEDEVA Vera,,,-1LAP
40,,51,MOTTUS Mari-Liis,,,-1LAP
41,,32,BENKO Barbara,,,-2LAP
42,,36,KESEG STEVKOVA Janka,,,-2LAP
43,,61,AMES Kim Anika,,,-2LAP
44,,57,HEIGL Nadja,,,-2LAP
45,,42,GOULAO HENRIQUE Raiza,,,-2LAP
46,,59,WOJTYLA Gabriela,,,-2LAP
47,,60,SLOBODYAN Iryna,,,-2LAP
48,,16,STRAUSS Mariske,,,-2LAP
49,,40,SOARES CANDIDO Leticia Jaqueline,,,-2LAP
50,,62,ROJAS CUBERO Adriana Maria,,,-3LAP
51,,45,PODGORSKA Aleksandra,,,-3LAP
52,,63,VEGA TORRES Monica,,,-3LAP
53,,37,CRNOGORAC Jovana,,,-3LAP
54,,66,CASADEY Josefina,,,-3LAP
55,,53,MEIER Maaris,,,-3LAP
-,,3,COURTNEY Kate,,,DNF2
-,,14,RISSVEDS Jenny,,,DNF2
-,,2,TERPSTRA Anne,,,DNF1
-,,58,SCHAUS Fabienne,,,DNF0
-,,28,LANGVAD Annika,,,DNS
