name,country,discipline
Margarita FULLANA,"ESP, ",Mountain Bike
Grant FERGUSON,"GBR, ",Mountain Bike
Githa MICHIELS,"BEL, ",Mountain Bike
Ruben SCHEIRE,"BEL, ",Mountain Bike
Stephane TEMPIER,"FRA, ",Mountain Bike
Kevin VAN HOOVELS,"BEL, ",Mountain Bike
Robert FORSTEMANN,"GER, ",Mountain Bike
Lenka ILAVSKA,"SVK, ",Mountain Bike
Alges MAASIKMETS,"EST, ",Mountain Bike
Annabella STROPPARO,"ITA, ",Mountain Bike
Miguel MARTINEZ,"FRA, ",Mountain Bike
Kiara BISARO,"CAN, ",Mountain Bike
Janka STEVKOVA,"SVK, ",Mountain Bike
Roland GREEN,"CAN, ",Mountain Bike
Hector Leonardo PAEZ,"COL, ",Mountain Bike
Emmanouil KOTOULAS,"GRE, ",Mountain Bike
Flor Marina DELGADILLO,"COL, ",Mountain Bike
Sven NYS,"BEL, ",Mountain Bike
Paola PEZZO,"ITA, ",Mountain Bike
Irina KALENTYEVA,"RUS, ",Mountain Bike
Manuel FUMIC,"GER, ",Mountain Bike
Victor KORETZKY,"FRA, ",Mountain Bike
Dario Alejandro GASCO,"ARG, ",Mountain Bike
Rubens DONIZETE VALERIANO,"BRA, ",Mountain Bike
Peter SAGAN,"SVK, ",Road Cycling
Kohei YAMAMOTO,"JPN, ",Mountain Bike
Julien ABSALON,"FRA, ",Mountain Bike
Yury TROFIMOV,"RUS, ",Mountain Bike
Inaki LEJARRETA ERRASTI,"ESP, ",Mountain Bike
Maria OSTERGREN,"SWE, ",Mountain Bike
Jan Erik OESTERGAARD,"DEN, ",Mountain Bike
Marcel ARNTZ,"NED, ",Mountain Bike
Deb MURRELL,"GBR, ",Mountain Bike
Karen HANLEN,"NZL, ",Mountain Bike
Alexandra ENGEN,"SWE, ",Mountain Bike
Patrick TOLHOEK,"NED, ",Mountain Bike
Ignacio Ariel GILI,"ARG, ",Mountain Bike
Kohei YAMAMOTO,"JPN, ",Mountain Bike
Sigvard KUKK,"EST, ",Mountain Bike
Michelle VORSTER,"NAM, ",Mountain Bike
James REID,"RSA, ",Mountain Bike
Henrique AVANCINI,"BRA, ",Mountain Bike
Regina MARUNDE,"GER, ",Mountain Bike
Silvia ROVIRA,"ESP, ",Mountain Bike
Laura BLANCO,"ESP, ",Mountain Bike
Christoph SOUKUP,"AUT, ",Mountain Bike
Lene BYBERG,"NOR, ",Mountain Bike
Liam KILLEEN,"GBR, ",Mountain Bike
Lado FUMIC,"GER, ",Mountain Bike
Michael RASMUSSEN,"DEN, ",Mountain Bike
Elina SOFOCLEOUS,"CYP, ",Mountain Bike
Louise ROBINSON,"GBR, ",Mountain Bike
Francisca CAMPOS,"CHI, ",Mountain Bike
Lisa MATHISON,"AUS, ",Mountain Bike
Mathias FLUCKIGER,"SUI, ",Mountain Bike
Linda INDERGAND,SUI,Mountain Bike
Perrine CLAUZEL,"FRA, ",Mountain Bike
Shlomi HAIMY,"ISR, ",Mountain Bike
Jolanda NEFF,"SUI, ",Mountain Bike
Eva LECHNER,"ITA, ",Mountain Bike
Sabine SPITZ,"GER, ",Mountain Bike
Marek GALINSKI,"POL, ",Mountain Bike
Robyn WONG,"NZL, ",Mountain Bike
Nadezhda PASHKOVA,"RUS, ",Mountain Bike
Roel PAULISSEN,"BEL, ",Mountain Bike
Rune HOYDAHL,"NOR, ",Mountain Bike
Peter HRIC,"SVK, ",Mountain Bike
Laurence LEBOUCHER,"FRA, ",Mountain Bike
Max PLAXTON,"CAN, ",Mountain Bike
Rok DRASLER,"SLO, ",Mountain Bike
Ludovic DUBAU,"FRA, ",Mountain Bike
Liam KILLEEN,"GBR, ",Mountain Bike
Lado FUMIC,"GER, ",Mountain Bike
Michael RASMUSSEN,"DEN, ",Mountain Bike
Elina SOFOCLEOUS,"CYP, ",Mountain Bike
Louise ROBINSON,"GBR, ",Mountain Bike
Francisca CAMPOS,"CHI, ",Mountain Bike
Lisa MATHISON,"AUS, ",Mountain Bike
Mathias FLUCKIGER,"SUI, ",Mountain Bike
Linda INDERGAND,SUI,Mountain Bike
Perrine CLAUZEL,"FRA, ",Mountain Bike
Shlomi HAIMY,"ISR, ",Mountain Bike
Jolanda NEFF,"SUI, ",Mountain Bike
Eva LECHNER,"ITA, ",Mountain Bike
Sabine SPITZ,"GER, ",Mountain Bike
Marek GALINSKI,"POL, ",Mountain Bike
Robyn WONG,"NZL, ",Mountain Bike
Nadezhda PASHKOVA,"RUS, ",Mountain Bike
Roel PAULISSEN,"BEL, ",Mountain Bike
Rune HOYDAHL,"NOR, ",Mountain Bike
Peter HRIC,"SVK, ",Mountain Bike
Laurence LEBOUCHER,"FRA, ",Mountain Bike
Max PLAXTON,"CAN, ",Mountain Bike
Rok DRASLER,"SLO, ",Mountain Bike
Ludovic DUBAU,"FRA, ",Mountain Bike
Robin SEYMOUR,"IRL, ",Mountain Bike
Jesper AGERGAARD,"DEN, ",Mountain Bike
Gunn-Rita DAHLE,"NOR, ",Mountain Bike
