,name,country,discipline
0,Rene HASELBACHER,,Road Cycling
1,Petr KOCHELENKO,,Road Cycling
2,CALiSKAN,"TUR, ",Road Cycling
3,Qendrim GURI,,Road Cycling
4,Erich HAGEN,,Road Cycling
5,Immo RITTMEYER,,Road Cycling
6,A. KOSMATIN,"YUG, ",Road Cycling
7,Zinaida STAGURSKAYA,,Road Cycling
8,Samuel KIBAMBA,,Road Cycling
9,A. TOURVILLE,"CAN, ",Road Cycling
10,Horst TÜLLER,,Road Cycling
11,Frantisek KUNDERT,,Road Cycling
12,Matthias BUXHOFER,,Road Cycling
13,Burkhard EBERT,,Road Cycling
14,Vaclav TINTERA,,Road Cycling
15,Wilfried PEFFGEN,,Road Cycling
16,Kimpale MOSENGO,,Road Cycling
17,Mobange AMISI,,Road Cycling
18,Ndjibu N'GOLOMINGI,,Road Cycling
19,Sviatoslav RIABOUCHENKO,,Road Cycling
20,Alexei BOTCHKOV,,Road Cycling
21,Natalya KISHCHUK,,Road Cycling
22,Radisa CUBRIC,,Road Cycling
23,Jean BARNABE,,Road Cycling
24,Egon ADLER,,Road Cycling
25,A. BANEK,"YUG, ",Road Cycling
26,Jan VOKOUN,,Road Cycling
27,Bohumil RAMES,,Road Cycling
28,A. MUGGLI,"SUI, ",Road Cycling
29,Bohumil KUBRYCHT,,Road Cycling
30,Bernhard ECKSTEIN,,Road Cycling
31,Gunter HOFFMANN,,Road Cycling
32,Thomas MUEHLBACHER,,Road Cycling
33,Mikos RNJAKOVIC,,Road Cycling
34,Selenge KIMOTO,,Road Cycling
35,Mobance AMISI,,Road Cycling
36,Noe MEDINA,"ECU, ",Road Cycling
37,Fabian CANCELLARA,"SUI, ",Road Cycling
38,Frantisek TRKAL,"TCH, ",Road Cycling
39,Ivan STEVIC,"SRB, ",Road Cycling
40,Pierre ROLLAND,"FRA, ",Road Cycling
41,Emanuel BUCHMANN,"GER, ",Road Cycling
42,Michael ALBASINI,"SUI, ",Road Cycling
43,Giuseppe OLMO,"ITA, ",Road Cycling
44,Roger GILSON,"LUX, ",Road Cycling
45,André LEDUCQ,"FRA, ",Road Cycling
46,Cornelis HEEREN,"NED, ",Road Cycling
47,Leon DELATHOUWER,"BEL, ",Road Cycling
48,Egon ADLER,,Road Cycling
49,A. BANEK,"YUG, ",Road Cycling
50,Jan VOKOUN,,Road Cycling
51,Bohumil RAMES,,Road Cycling
52,A. MUGGLI,"SUI, ",Road Cycling
53,Bohumil KUBRYCHT,,Road Cycling
54,Bernhard ECKSTEIN,,Road Cycling
55,Gunter HOFFMANN,,Road Cycling
56,Thomas MUEHLBACHER,,Road Cycling
57,Mikos RNJAKOVIC,,Road Cycling
58,Selenge KIMOTO,,Road Cycling
59,Mobance AMISI,,Road Cycling
60,Noe MEDINA,"ECU, ",Road Cycling
61,Fabian CANCELLARA,"SUI, ",Road Cycling
62,Frantisek TRKAL,"TCH, ",Road Cycling
63,Ivan STEVIC,"SRB, ",Road Cycling
64,Pierre ROLLAND,"FRA, ",Road Cycling
65,Emanuel BUCHMANN,"GER, ",Road Cycling
66,Michael ALBASINI,"SUI, ",Road Cycling
67,Giuseppe OLMO,"ITA, ",Road Cycling
68,Roger GILSON,"LUX, ",Road Cycling
69,André LEDUCQ,"FRA, ",Road Cycling
70,Cornelis HEEREN,"NED, ",Road Cycling
71,Leon DELATHOUWER,"BEL, ",Road Cycling
72,Egon ADLER,,Road Cycling
73,A. BANEK,"YUG, ",Road Cycling
74,Jan VOKOUN,,Road Cycling
75,Bohumil RAMES,,Road Cycling
76,A. MUGGLI,"SUI, ",Road Cycling
77,Bohumil KUBRYCHT,,Road Cycling
78,Bernhard ECKSTEIN,,Road Cycling
79,Gunter HOFFMANN,,Road Cycling
80,Thomas MUEHLBACHER,,Road Cycling
81,Mikos RNJAKOVIC,,Road Cycling
82,Selenge KIMOTO,,Road Cycling
83,Mobance AMISI,,Road Cycling
84,Noe MEDINA,"ECU, ",Road Cycling
85,Fabian CANCELLARA,"SUI, ",Road Cycling
86,Frantisek TRKAL,"TCH, ",Road Cycling
87,Ivan STEVIC,"SRB, ",Road Cycling
88,Pierre ROLLAND,"FRA, ",Road Cycling
89,Emanuel BUCHMANN,"GER, ",Road Cycling
90,Michael ALBASINI,"SUI, ",Road Cycling
91,Giuseppe OLMO,"ITA, ",Road Cycling
92,Roger GILSON,"LUX, ",Road Cycling
93,André LEDUCQ,"FRA, ",Road Cycling
94,Cornelis HEEREN,"NED, ",Road Cycling
95,Leon DELATHOUWER,"BEL, ",Road Cycling
96,Guremu DEMBOBA,"ETH, ",Road Cycling
97,Carl KOCH,"GER, ",Road Cycling
98,Stoyan DEMIREV,"BUL, ",Road Cycling
99,Marc MADIOT,"FRA, ",Road Cycling
100,Tapani VUORENHELA,"FIN, ",Road Cycling
101,Ulrich SUTTER,"SUI, ",Road Cycling
102,Rados CUBRIC,"YUG, ",Road Cycling
103,Jozsef PETERMAN,"HUN, ",Road Cycling
104,Milan PERIC,"TCH, ",Road Cycling
105,Paula WESTHER,"SWE, ",Road Cycling
106,Johannes DAAMS,"NED, ",Road Cycling
107,Mitsuhiro SUZUKI,"JPN, ",Road Cycling
108,Felice PUTTINI,"SUI, ",Road Cycling
109,Ladislav FEREBAUER,"TCH, ",Road Cycling
110,Zdzislaw WRONA,"POL, ",Road Cycling
111,Agnes DUSART,"BEL, ",Road Cycling
112,Dmytro KRIVTSOV,"UKR, ",Road Cycling
