,name,country,discipline
0,KAMAKAZI,"AUS, ",BMX Racing
1,Tory NYHAUG,"CAN, ",BMX Racing
2,Nadja PRIES,"GER, ",BMX Racing
3,Maris STROMBERGS,"LAT, ",BMX Racing
4,Jelle VAN GORKOM,"NED, ",BMX Racing
5,Squel STEIN,"BRA, ",BMX Racing
6,Morten THERKILDSEN,"DEN, ",BMX Racing
7,Tanya BAILEY,"AUS, ",BMX Racing
8,Sergio SALAZAR,"COL, ",BMX Racing
9,Priscila STEVAUX CARNAVAL,"BRA, ",BMX Racing
10,Yoshitaku NAGASAKO,JPN,BMX Racing
11,Renato REZENDE,"BRA, ",BMX Racing
12,Khalen YOUNG,"AUS, ",BMX Racing
13,Arturs MATISONS,"LAT, ",BMX Racing
14,Cristian Daniel BECERINE,"ARG, ",BMX Racing
15,Emilio FALLA,"ECU, ",BMX Racing
16,Maria Gabriela DIAZ,"ARG, ",BMX Racing
17,Yaroslava BONDARENKO,"RUS, ",BMX Racing
18,Niek KIMMANN,NED,BMX Racing
19,Sam WILLOUGHBY,"AUS, ",BMX Racing
20,Laura SMULDERS,"NED, ",BMX Racing
21,Arnaud DUBOIS,"BEL, ",BMX Racing
22,Manuel DE VECCHI,"ITA, ",BMX Racing
23,Augusto CASTRO,"COL, ",BMX Racing
24,Kyle DODD,"RSA, ",BMX Racing
25,Magalie POTTIER,"FRA, ",BMX Racing
26,Kyle EVANS,"GBR, ",BMX Racing
27,Romana LABOUNKOVA,"CZE, ",BMX Racing
28,Michal PROKOP,"CZE, ",BMX Racing
29,Andres JIMENEZ,"COL, ",BMX Racing
30,Laetitia LE CORGUILLE,"FRA, ",BMX Racing
31,Akifumi SAKAMOTO,"JPN, ",BMX Racing
32,Aneta HLADIKOVA,"CZE, ",BMX Racing
33,Sammy COOLS,"CAN, ",BMX Racing
34,Sebastian KARTFJORD,"NOR, ",BMX Racing
35,Simone CHRISTENSEN,"DEN, ",BMX Racing
36,Jefferson MILANO,"VEN, ",BMX Racing
37,Shanaze READE,"GBR, ",BMX Racing
38,Henrik BALTZERSEN,"DEN, ",BMX Racing
39,Trent JONES,"NZL, ",BMX Racing
40,Niklas LAUSTSEN,"DEN, ",BMX Racing
41,Tore NAVRESTAD,"NOR, ",BMX Racing
42,Twan VAN GENDT,NED,BMX Racing
43,Manon VALENTINO,"FRA, ",BMX Racing
44,Ernesto PIZARRO,"ARG, ",BMX Racing
45,Moana MOO CAILLE,"FRA, ",BMX Racing
46,Sandra ALEKSEJEVA,"LAT, ",BMX Racing
47,Marc WILLERS,"NZL, ",BMX Racing
48,Sarah WALKER,"NZL, ",BMX Racing
49,Gabriela Maria DIAZ,"ARG, ",BMX Racing
50,Amanda SOERENSEN,"DEN, ",BMX Racing
51,Anne-Caroline CHAUSSON,"FRA, ",BMX Racing
52,Amidou MIR,"FRA, ",BMX Racing
53,Alfredo CAMPO,"ECU, ",BMX Racing
54,Evgeny KOMAROV,"RUS, ",BMX Racing
55,Stefany HERNANDEZ,"VEN, ",BMX Racing
56,Caroline BUCHANAN,"AUS, ",BMX Racing
57,Rihards VEIDE,"LAT, ",BMX Racing
58,Ramiro MARINO,"ARG, ",BMX Racing
59,Vilmos RADASICS,"HUN, ",BMX Racing
60,Merle VAN BENTHEM,"NED, ",BMX Racing
61,Jeremy RENCUREL,"FRA, ",BMX Racing
62,Joris DAUDET,"FRA, ",BMX Racing
63,Damien GODET,"FRA, ",BMX Racing
64,Brian KIRKHAM,"AUS, ",BMX Racing
65,Vilma RIMSAITE,"LTU, ",BMX Racing
66,Jared GRAVES,"AUS, ",BMX Racing
67,Luke MADILL,"AUS, ",BMX Racing
68,Nicole CALLISTO,"AUS, ",BMX Racing
69,Jana HORAKOVA,"CZE, ",BMX Racing
70,Ivo LAKUCS,"LAT, ",BMX Racing
71,Aniko HODI,"HUN, ",BMX Racing
72,Mariana PAJON,"COL, ",BMX Racing
73,Toni SYARIFUDIN,"INA, ",BMX Racing
74,Quentin CALEYRON,"FRA, ",BMX Racing
75,Anthony DEAN,"AUS, ",BMX Racing
76,Elke VANHOOF,"BEL, ",BMX Racing
77,Liam PHILLIPS,"GBR, ",BMX Racing
78,Maik BAIER,"GER, ",BMX Racing
79,Sifiso NHLAPO,"RSA, ",BMX Racing
80,Lieke KLAUS,"NED, ",BMX Racing
81,Gonzalo MOLINA,"ARG, ",BMX Racing
82,Lauren REYNOLDS,"AUS, ",BMX Racing
83,Roger RINDERKNECHT,"SUI, ",BMX Racing
84,Daniel CALUAG,"PHI, ",BMX Racing
85,Scott ERWOOD,"CAN, ",BMX Racing
86,Maria Belen DUTTO,"ARG, ",BMX Racing
87,Robert DE WILDE,"NED, ",BMX Racing
88,Amanda CARR,"THA, ",BMX Racing
89,Bodi TURNER,"AUS, ",BMX Racing
90,David GRAF,"SUI, ",BMX Racing
91,Edzus TREIMANIS,"LAT, ",BMX Racing
92,Luis BRETHAUER,"GER, ",BMX Racing
93,Kurt PICKARD,"NZL, ",BMX Racing
94,Thomas ALLIER,"FRA, ",BMX Racing
95,Jenny FÄHNDRICH,"SUI, ",BMX Racing
96,Gabriela DIAZ,"ARG, ",BMX Racing
97,Jonathan Fernando SUAREZ FREITEZ,"VEN, ",BMX Racing
98,Corben SHARRAH,"USA, ",BMX Racing
99,Raymon VAN DER BIEZEN,"NED, ",BMX Racing
100,Donny ROBINSON,"USA, ",BMX Racing
101,Carlos Mario OQUENDO ZABALA,"COL, ",BMX Racing
102,Connor FIELDS,"USA, ",BMX Racing
103,Nicholas LONG,"USA, ",BMX Racing
104,Jill KINTNER,"USA, ",BMX Racing
105,Kyle BENNETT,"USA, ",BMX Racing
106,David HERMAN,"USA, ",BMX Racing
107,Andres Eduardo JIMENEZ CAICEDO,"COL, ",BMX Racing
108,Emilio Andres FALLA BUCHELY,"ECU, ",BMX Racing
109,Brooke CRAIN,"USA, ",BMX Racing
110,Alise POST,"USA, ",BMX Racing
111,Liyun MA,"CHN, ",BMX Racing
112,Rob VAN DEN WILDENBERG,"NED, ",BMX Racing
113,Carlos Alberto RAMIREZ YEPES,"COL, ",BMX Racing
114,Mike DAY,"USA, ",BMX Racing
