,name,country,discipline
0,Tamara VEGA,,Modern Pentathlon
1,Elmar FRINGS,,Modern Pentathlon
2,Ilias BAKTYBEKOV,,Modern Pentathlon
3,Martin BILKO,,Modern Pentathlon
4,Franziska HANKO,,Modern Pentathlon
5,Beatriche GENCHEVA,,Modern Pentathlon
6,Nuria CHAVARRIA,,Modern Pentathlon
7,Todd RENFREE,,Modern Pentathlon
8,Dilyara ILYASSOVA,,Modern Pentathlon
9,Ela SEDILEKOVA,,Modern Pentathlon
10,Jorge CAMACHO,,Modern Pentathlon
11,Aleix HEREDIA,,Modern Pentathlon
12,Alice LENCOVA,,Modern Pentathlon
13,Sindija ROGA,,Modern Pentathlon
14,Eric KRUGER,,Modern Pentathlon
15,Gergely DEMETER,,Modern Pentathlon
16,Greg LONGDEN,,Modern Pentathlon
17,Marharyta MASEIKAVA,,Modern Pentathlon
18,Dietrich KRICKOW,,Modern Pentathlon
19,Anatoli STAROSTIN,,Modern Pentathlon
20,Emily GREENAN,,Modern Pentathlon
21,Aliaksandr BIRUK,,Modern Pentathlon
22,Uwe ADLER,,Modern Pentathlon
23,Gloria TOCCHI,,Modern Pentathlon
24,Jan SZALAY,,Modern Pentathlon
25,Karol DZIUDZIEK,,Modern Pentathlon
26,Wolfgang GEDICKE,,Modern Pentathlon
27,Ilya SHUGAROV,,Modern Pentathlon
28,Yuriy FEDECHKO,,Modern Pentathlon
29,Lukas KONTRIMAVICIUS,,Modern Pentathlon
30,Manon CARPENTIER,,Modern Pentathlon
31,Andrea MICALIZZI,,Modern Pentathlon
32,Edouard ZENOVKA,,Modern Pentathlon
33,Valerie LIM,,Modern Pentathlon
34,German SOBOLEV,,Modern Pentathlon
35,Anna OLESINSKI,,Modern Pentathlon
36,Mariana LAPORTE,,Modern Pentathlon
37,Jaime LOPEZ,"ESP, ",Modern Pentathlon
38,Hanna ARKHIPENKA,"BLR, ",Modern Pentathlon
39,Pavel KUPKA,"TCH, ",Modern Pentathlon
40,Vadim TKACHUK,"UKR, ",Modern Pentathlon
41,Thomas FLEISSNER,"TCH, ",Modern Pentathlon
42,Elodie CLOUVEL,"FRA, ",Modern Pentathlon
43,Alice SOTERO,"ITA, ",Modern Pentathlon
44,Christian ZILLEKENS,"GER, ",Modern Pentathlon
45,Amro ELGEZIRY,"EGY, ",Modern Pentathlon
46,Ieva SERAPINAITE,"LTU, ",Modern Pentathlon
