,name,country,discipline
0,Daniel FONTANA,"ARG, ",Triathlon
1,Vincent LUIS,"FRA, ",Triathlon
2,Alessandro FABIAN,"ITA, ",Triathlon
3,Ainhoa MURUA,"ESP, ",Triathlon
4,Juri IDE,"JPN, ",Triathlon
5,Paula FINDLAY,"CAN, ",Triathlon
6,Machiko NAKANISHI,"JPN, ",Triathlon
7,Courtney ATKINSON,"AUS, ",Triathlon
8,Colin JENKINS,"CAN, ",Triathlon
9,Jessica HARRISON,"FRA, ",Triathlon
10,Csaba KUTTOR,"HUN, ",Triathlon
11,Erica HAWLEY,,Triathlon
12,Elizabeth STANNARD,,Triathlon
13,Dmitry EFIMOV,,Triathlon
14,Minami KUBONO,,Triathlon
15,Leslie AMAT ALVAREZ,,Triathlon
16,Laura CASEY,,Triathlon
17,Livio MOLINARI,,Triathlon
18,Andrea LONGUEIRA,,Triathlon
19,Andriy SIRENKO,,Triathlon
20,Carlos PEREZ,,Triathlon
21,Margit VANEK,"HUN, ",Triathlon
22,Audrey MERLE,"FRA, ",Triathlon
23,Tyler MISLAWCHUK,"CAN, ",Triathlon
24,Aaron ROYLE,"AUS, ",Triathlon
25,Erin DENSHAM,"AUS, ",Triathlon
26,Daniela RYF,"SUI, ",Triathlon
27,Magali MESSMER,"SUI, ",Triathlon
28,Gonzalo TELLECHEA,"ARG, ",Triathlon
29,Tyler BUTTERFIELD,"BER, ",Triathlon
30,Axel ZEEBROEK,"BEL, ",Triathlon
31,Carolyn MURRAY,"CAN, ",Triathlon
32,Tania HAIBOECK,"AUT, ",Triathlon
33,Christian PROCHNOW,"GER, ",Triathlon
34,Carole PEON,"FRA, ",Triathlon
35,Ivan RANA,"ESP, ",Triathlon
36,Miles STEWART,"AUS, ",Triathlon
37,Emily WAGNER,,Triathlon
38,Sara SKARDELLY,,Triathlon
39,Gyuhyung LEE,,Triathlon
40,Jack VAN STEKELENBURG,,Triathlon
41,Miguel CASSIANO,,Triathlon
42,Gabriel ZUMBADO,,Triathlon
43,Charlotte DELDAELE,,Triathlon
44,Leong Tim LAW,,Triathlon
45,Eszter DUDAS,,Triathlon
46,Miguel VALENTE FERNANDES,,Triathlon
47,Monika ORAZEM,,Triathlon
48,Yuliya YELISTRATOVA,"UKR, ",Triathlon
49,Ryan BAILIE,"AUS, ",Triathlon
50,Cecilia PEREZ,"MEX, ",Triathlon
51,Yurie KATO,"JPN, ",Triathlon
52,Ryosuke YAMAMOTO,"JPN, ",Triathlon
53,Joao SILVA,"POR, ",Triathlon
54,Ekaterina SHATNAYA,"KAZ, ",Triathlon
55,Line JENSEN,"DEN, ",Triathlon
56,Daniela CHMET,"ITA, ",Triathlon
57,Francisco SERRANO,"MEX, ",Triathlon
58,Pilar HIDALGO,"ESP, ",Triathlon
59,Ricarda LISK,"GER, ",Triathlon
60,Sibylle MATTER,"SUI, ",Triathlon
61,Loretta HARROP,"AUS, ",Triathlon
62,Michellie JONES,"AUS, ",Triathlon
63,Silvia PEPELS,"NED, ",Triathlon
64,Vassilios KROMMYDAS,"GRE, ",Triathlon
65,Volodymyr POLIKARPENKO,"UKR, ",Triathlon
66,Sofiya PRYYMA,,Triathlon
67,Eduardo LONDONO NARANJO,,Triathlon
68,Philip HORWARTH,,Triathlon
69,Romain LOOP,,Triathlon
70,Javier GOMEZ,"ESP, ",Triathlon
71,Ryan GUNN,"BER, ",Triathlon
72,Andres DIAZ,,Triathlon
73,Brigitte MCMAHON,"SUI, ",Triathlon
74,Olivier MARCEAU,"SUI, ",Triathlon
75,Claire MICHEL,"BEL, ",Triathlon
76,Rina HILL,"AUS, ",Triathlon
77,Emmie CHARAYRON,"FRA, ",Triathlon
78,Zurine RODRIGUEZ,"ESP, ",Triathlon
79,Brendan SEXTON,"AUS, ",Triathlon
80,Ana BURGOS,"ESP, ",Triathlon
81,Will CLARKE,"GBR, ",Triathlon
82,Daniel UNGER,"GER, ",Triathlon
83,Christiane PILZ,"GER, ",Triathlon
84,Nora EDOCSENY,"HUN, ",Triathlon
85,Silvia GEMIGNANI,"ITA, ",Triathlon
86,Andriy GLUSHCHENKO,"UKR, ",Triathlon
87,Marie OVERBYE,"DEN, ",Triathlon
88,Simon AGOSTON,"AUT, ",Triathlon
89,Kristin RANWIG,,Triathlon
90,Serena RENDELL,,Triathlon
91,Teddy BORIS,,Triathlon
92,Emil Deleuran HANSEN,,Triathlon
93,Yuki KUBONO,,Triathlon
94,Diego PAZ,,Triathlon
95,Juraci MOREIRA,"BRA, ",Triathlon
96,Andres DIAZ,,Triathlon
97,Brigitte MCMAHON,"SUI, ",Triathlon
98,Olivier MARCEAU,"SUI, ",Triathlon
99,Claire MICHEL,"BEL, ",Triathlon
100,Rina HILL,"AUS, ",Triathlon
101,Emmie CHARAYRON,"FRA, ",Triathlon
102,Zurine RODRIGUEZ,"ESP, ",Triathlon
103,Brendan SEXTON,"AUS, ",Triathlon
104,Ana BURGOS,"ESP, ",Triathlon
105,Will CLARKE,"GBR, ",Triathlon
106,Daniel UNGER,"GER, ",Triathlon
107,Christiane PILZ,"GER, ",Triathlon
108,Nora EDOCSENY,"HUN, ",Triathlon
109,Silvia GEMIGNANI,"ITA, ",Triathlon
110,Andriy GLUSHCHENKO,"UKR, ",Triathlon
111,Marie OVERBYE,"DEN, ",Triathlon
112,Simon AGOSTON,"AUT, ",Triathlon
113,Kristin RANWIG,,Triathlon
114,Serena RENDELL,,Triathlon
115,Teddy BORIS,,Triathlon
116,Emil Deleuran HANSEN,,Triathlon
117,Yuki KUBONO,,Triathlon
118,Diego PAZ,,Triathlon
119,Juraci MOREIRA,"BRA, ",Triathlon
120,Andres DIAZ,,Triathlon
121,Brigitte MCMAHON,"SUI, ",Triathlon
