,name,country,discipline
0,Dusan POPESKOV,,Track Cycling
1,Alexandre KIRITCHENKO,,Track Cycling
2,Andrew HANSSON,,Track Cycling
3,François OMBANZI,,Track Cycling
4,Lothar SPIEGELBERG,,Track Cycling
5,Michaela BRUNNGRABER,,Track Cycling
6,A. POLITI,"ITA, ",Track Cycling
7,A. ZEIBERLINS,"LAT, ",Track Cycling
8,Galina ENUKHINA,,Track Cycling
9,Gunther KASLOWSKI,,Track Cycling
10,Lothar CLAESGES,,Track Cycling
11,Alexandre GONTCHENKOV,,Track Cycling
12,Nikolai KOVCH,,Track Cycling
13,A. APSITS,"LAT, ",Track Cycling
14,Clyde RIMPLE,,Track Cycling
15,Gunther ZIEGLER,,Track Cycling
16,August RIEKE,,Track Cycling
17,Ulrich SCHILLINGER,,Track Cycling
18,Willy FUGGERER,,Track Cycling
19,Felicia BALLANGER,"FRA, ",Track Cycling
20,Sam WELSFORD,"AUS, ",Track Cycling
21,Patrick CONSTABLE,"AUS, ",Track Cycling
22,Gudrun STOCK,"GER, ",Track Cycling
23,Simone CONSONNI,"ITA, ",Track Cycling
24,Allison BEVERIDGE,"CAN, ",Track Cycling
25,Michael HEPBURN,"AUS, ",Track Cycling
26,Niklas LARSEN,"DEN, ",Track Cycling
27,Alfredo DINALE,"ITA, ",Track Cycling
28,Giovanni PETTENELLA,"ITA, ",Track Cycling
29,Pierre GEORGET,"FRA, ",Track Cycling
30,Jacobus WILLEMS,"NED, ",Track Cycling
31,Jerzy KOSZUTSKI,"POL, ",Track Cycling
32,Gabriele SELLA,"ITA, ",Track Cycling
33,Luigi CONSONNI,"ITA, ",Track Cycling
34,Rocco TRAVELLA,"SUI, ",Track Cycling
35,Masahiro YASUHARA,"JPN, ",Track Cycling
36,Hiroshi DAIMON,"JPN, ",Track Cycling
37,Hanne MALMBERG,"DEN, ",Track Cycling
38,Josef HELBLING,"SUI, ",Track Cycling
39,Steffen KJAERGAARD,"NOR, ",Track Cycling
40,Janos SORE,"HUN, ",Track Cycling
41,Michel VAARTEN,"BEL, ",Track Cycling
42,Eric VERMEULEN,"FRA, ",Track Cycling
43,Michel ZUCCARELLI,"FRA, ",Track Cycling
44,Martyn IRVINE,"IRL, ",Track Cycling
45,Katsuo NAKATAKA,"JPN, ",Track Cycling
46,Lesya KALITOVSKA,"UKR, ",Track Cycling
47,Curtis HARNETT,"CAN, ",Track Cycling
48,Allison BEVERIDGE,"CAN, ",Track Cycling
49,Michael HEPBURN,"AUS, ",Track Cycling
50,Niklas LARSEN,"DEN, ",Track Cycling
51,Alfredo DINALE,"ITA, ",Track Cycling
52,Giovanni PETTENELLA,"ITA, ",Track Cycling
53,Pierre GEORGET,"FRA, ",Track Cycling
54,Jacobus WILLEMS,"NED, ",Track Cycling
55,Jerzy KOSZUTSKI,"POL, ",Track Cycling
56,Gabriele SELLA,"ITA, ",Track Cycling
57,Luigi CONSONNI,"ITA, ",Track Cycling
58,Rocco TRAVELLA,"SUI, ",Track Cycling
59,Masahiro YASUHARA,"JPN, ",Track Cycling
60,Hiroshi DAIMON,"JPN, ",Track Cycling
61,Hanne MALMBERG,"DEN, ",Track Cycling
62,Josef HELBLING,"SUI, ",Track Cycling
63,Steffen KJAERGAARD,"NOR, ",Track Cycling
64,Janos SORE,"HUN, ",Track Cycling
65,Michel VAARTEN,"BEL, ",Track Cycling
66,Eric VERMEULEN,"FRA, ",Track Cycling
67,Michel ZUCCARELLI,"FRA, ",Track Cycling
68,Martyn IRVINE,"IRL, ",Track Cycling
69,Katsuo NAKATAKA,"JPN, ",Track Cycling
70,Lesya KALITOVSKA,"UKR, ",Track Cycling
71,Curtis HARNETT,"CAN, ",Track Cycling
72,Sucha SINGH,"IND, ",Track Cycling
73,Smaisuk KRISANSUWAN,"THA, ",Track Cycling
74,V. OPREA,"ROU, ",Track Cycling
75,Fredy ARBER,"SUI, ",Track Cycling
76,Jaroslav BROZ,"TCH, ",Track Cycling
77,Jenning HUIZENGA,"NED, ",Track Cycling
78,Ryszard DAWIDOWICZ,"POL, ",Track Cycling
79,Florian ROUSSEAU,"FRA, ",Track Cycling
80,Lisandra GUERRA,"CUB, ",Track Cycling
81,Natalia RUTKOWSKA,"POL, ",Track Cycling
82,Alexander EDMONDSON,"AUS, ",Track Cycling
83,Nathan HART,"AUS, ",Track Cycling
84,Melissa HOSKINS,"AUS, ",Track Cycling
85,Ernesto GROBET,"MEX, ",Track Cycling
86,Harald CHRISTENSEN,"DEN, ",Track Cycling
87,Louis CHAILLOT,"FRA, ",Track Cycling
88,Mauritius PEETERS,"NED, ",Track Cycling
89,Antonius GERRITS,"NED, ",Track Cycling
90,Joseph ROSEMAYER,"GER, ",Track Cycling
91,William MORTON,"CAN, ",Track Cycling
92,Anisio ARGENTON,"BRA, ",Track Cycling
93,Orfeo PIZZOFERATO,"ITA, ",Track Cycling
94,Guido BONTEMPI,"ITA, ",Track Cycling
95,Viesturs BERZINS,"LAT, ",Track Cycling
96,Sucha SINGH,"IND, ",Track Cycling
97,Smaisuk KRISANSUWAN,"THA, ",Track Cycling
98,V. OPREA,"ROU, ",Track Cycling
99,Fredy ARBER,"SUI, ",Track Cycling
100,Jaroslav BROZ,"TCH, ",Track Cycling
101,Jenning HUIZENGA,"NED, ",Track Cycling
102,Ryszard DAWIDOWICZ,"POL, ",Track Cycling
103,Florian ROUSSEAU,"FRA, ",Track Cycling
104,Lisandra GUERRA,"CUB, ",Track Cycling
105,Natalia RUTKOWSKA,"POL, ",Track Cycling
106,Alexander EDMONDSON,"AUS, ",Track Cycling
107,Nathan HART,"AUS, ",Track Cycling
108,Melissa HOSKINS,"AUS, ",Track Cycling
109,Ernesto GROBET,"MEX, ",Track Cycling
110,Harald CHRISTENSEN,"DEN, ",Track Cycling
111,Louis CHAILLOT,"FRA, ",Track Cycling
112,Mauritius PEETERS,"NED, ",Track Cycling
113,Antonius GERRITS,"NED, ",Track Cycling
114,Joseph ROSEMAYER,"GER, ",Track Cycling
115,William MORTON,"CAN, ",Track Cycling
116,Anisio ARGENTON,"BRA, ",Track Cycling
117,Orfeo PIZZOFERATO,"ITA, ",Track Cycling
118,Guido BONTEMPI,"ITA, ",Track Cycling
119,Viesturs BERZINS,"LAT, ",Track Cycling
120,Sucha SINGH,"IND, ",Track Cycling
121,Smaisuk KRISANSUWAN,"THA, ",Track Cycling
122,V. OPREA,"ROU, ",Track Cycling
123,Fredy ARBER,"SUI, ",Track Cycling
124,Jaroslav BROZ,"TCH, ",Track Cycling
125,Jenning HUIZENGA,"NED, ",Track Cycling
126,Ryszard DAWIDOWICZ,"POL, ",Track Cycling
127,Florian ROUSSEAU,"FRA, ",Track Cycling
128,Lisandra GUERRA,"CUB, ",Track Cycling
129,Natalia RUTKOWSKA,"POL, ",Track Cycling
130,Alexander EDMONDSON,"AUS, ",Track Cycling
131,Nathan HART,"AUS, ",Track Cycling
132,Melissa HOSKINS,"AUS, ",Track Cycling
133,Ernesto GROBET,"MEX, ",Track Cycling
134,Harald CHRISTENSEN,"DEN, ",Track Cycling
135,Louis CHAILLOT,"FRA, ",Track Cycling
136,Mauritius PEETERS,"NED, ",Track Cycling
137,Antonius GERRITS,"NED, ",Track Cycling
138,Joseph ROSEMAYER,"GER, ",Track Cycling
139,William MORTON,"CAN, ",Track Cycling
140,Anisio ARGENTON,"BRA, ",Track Cycling
141,Orfeo PIZZOFERATO,"ITA, ",Track Cycling
142,Guido BONTEMPI,"ITA, ",Track Cycling
143,Viesturs BERZINS,"LAT, ",Track Cycling
144,Francesca PATTARO,"ITA, ",Track Cycling
145,Theo REINHARDT,"GER, ",Track Cycling
146,Georgia BAKER,"AUS, ",Track Cycling
147,Olga ISMAYILOVA,"AZE, ",Track Cycling
148,Seiichiro NAKAGAWA,"JPN, ",Track Cycling
149,Silvan DILLIER,"SUI, ",Track Cycling
150,Robert LACOURSE,"CAN, ",Track Cycling
151,Lionel COX,"AUS, ",Track Cycling
152,Miroslav VYMAZAL,"TCH, ",Track Cycling
153,Janusz KIERZKOWSKI,"POL, ",Track Cycling
154,André AUFFRAY,"FRA, ",Track Cycling
155,Henri ANDRIEUX,"FRA, ",Track Cycling
156,Alfred MOHR,"AUT, ",Track Cycling
157,Vadim KRAVCHENKO,"KAZ, ",Track Cycling
158,Bruno GÖTZE,"GER, ",Track Cycling
159,Jean ROTH,"SUI, ",Track Cycling
160,Olivier MARTINEZ,"ESP, ",Track Cycling
161,Nada CRISTOFOLI,"ITA, ",Track Cycling
162,Federico CORTES,"ARG, ",Track Cycling
163,Edward MACRAE,"CAN, ",Track Cycling
164,Vladimir VACKAR,"TCH, ",Track Cycling
165,Knut KNUDSEN,"NOR, ",Track Cycling
166,Herman PONSTEEN,"NED, ",Track Cycling
167,Jörg MÜLLER,"SUI, ",Track Cycling
