1,,2,van der BREGGEN Anna,,,40:20.14
2,,3,REUSSER Marlen,,,+15.58
3,,11,van DIJK Ellen,,,+31.46
4,,4,BRENNAUER Lisa,,,+45.06
5,,19,BROWN Grace,,,+1:01.20
6,,10,NEBEN Amber Leone,,,+1:20.32
7,,43,JORGENSEN Emma Cecilie Norsgaard,,,+1:22.12
8,,39,KROGER Mieke,,,+1:31.10
9,,32,STEPHENS Lauren,,,+1:43.03
10,,6,BUSSI Vittoria,,,+1:46.62
11,,41,CORDON RAGOT Audrey,,,+1:53.68
12,,22,WILLIAMS Georgia,,,+2:16.70
13,,24,BUJAK Eugenia,,,+2:20.38
14,,8,PLICHTA Anna,,,+2:21.37
15,,44,BANKS Elizabeth,,,+2:23.61
16,,5,AMIALIUSIK Alena,,,+2:28.99
17,,7,LABOUS Juliette,,,+2:30.22
18,,18,KIESENHOFER Anna,,,+2:30.67
19,,17,BARNES Alice,,,+2:33.32
20,,47,HARVEY Mikayla,,,+2:33.59
21,,13,KIRCHMANN Leah,,,+2:34.78
22,,42,CANUEL Karol-Ann,,,+2:46.71
23,,23,SIERRA CANADILLA Arlenis,,,+2:46.84
24,,14,NORDEN Lisa,,,+2:52.78
25,,40,GUAZZINI Vittoria,,,+2:56.30
26,,48,KONONENKO Valeriya,,,+3:15.37
27,,12,GAREEVA Aigul,,,+3:38.32
28,,27,FABER Claire,,,+3:45.76
29,,35,ROZLAPA Dana,,,+3:48.31
30,,33,GAFINOVITZ Rotem,,,+3:51.83
31,,34,YONAMINE Eri,,,+4:08.08
32,,16,MATHIESEN Pernille,,,+4:22.18
33,,21,van de VEL Sara,,,+4:23.68
34,,46,DUYCK Ann-Sophie,,,+4:46.14
35,,25,SHEKEL Olga,,,+4:53.55
36,,31,CAMPBELL Teniel,,,+5:32.56
37,,20,OYARBIDE JIMENEZ Lourdes,,,+5:44.73
38,,15,SOTO CAMPOS Catalina Anais,,,+5:54.05
39,,45,MARTIN MARTIN Sara,,,+6:31.08
40,,36,YAPURA Fernanda,,,+6:34.59
41,,29,KORVASOVA Tereza,,,+7:23.90
42,,30,BJORNSDOTTIR Agusta Edda,,,+7:24.50
43,,49,MACHACOVA Jarmila,,,+7:25.77
44,,26,JONKER Kerry,,,+7:49.10
45,,28,GEDRAITYTE Akvile,,,+8:58.92
46,,50,PALSDOTTIR Margret,,,+9:39.26
47,,51,JOSEPH Amber,,,+10:15.92
48,,37,GEBRU Eyeru Tesfoam,,,+10:59.80
49,,38,ES-SADDY Siham,,,+14:07.78
-,,1,DYGERT Chloe,,,DNF
-,,9,ZABELINSKAYA Olga,,,DNS
