rank,athlete,race number,country,time,speed
1,GLAETZER Matthew,88,AUS,10.3,69.903
2,QUINTERO CHAVARRO Kevin Santiago,148,COL,10.391,
,,,,,
1,DMITRIEV Denis,334,RUS,10.035,71.749
2,LENDEL Vasilijus,279,LTU,10.174,
,,,,,
1,HART Nathan,89,AUS,10.108,71.231
2,PERALTA GASCON Juan,164,ESP,10.345,
,,,,,
1,PAUL Nicholas,368,TTO,10.374,69.404
2,WAKIMOTO Yut,258,JPN,10.472,
,,,,,
1,BOTTICHER Stefan,201,GER,10.159,70.873
2,XU Chao,137,CHN,10.197,
,,,,,
1,TRUMAN Joseph,191,GBR,10.144,70.978
2,YAKUSHEVSKIY Pavel,345,RUS,10.278,
,,,,,
1,CARLIN Jack,184,GBR,10.173,70.776
2,DORNBACH Maximilian,202,GER,10.231,
,,,,,
1,FUKAYA Tomohiro,252,JPN,10.335,69.666
2,TJON EN FA Jair,362,SUR,10.369,
,,,,,
1,MITCHELL Ethan,304,NZL,10.151,70.929
,PHILLIP Njisane,369,TTO,DNF,
,,,,,
1,BARRETTE Hugo,122,CAN,10.362,69.485
2,CALEYRON Quentin,168,FRA,10.481,
,,,,,
1,WEBSTER Sam,306,NZL,10.266,70.134
2,BUCHLI Matthijs,289,NED,0.053,
,,,,,
1,KELEMEN Pavel,153,CZE,10.55,68.246
2,SZALONTAY Sandor,227,HUN,0.037,
