rank;name;country;time;speed
1;291 HOOGLAND Jeffrey;NED;10.072;71.485
2;153 KELEMEN Pavel;CZE;0.073;
;;;;
1;292 LAVREYSEN Harrie;NED;10.023;71.835
2;306 WEBSTER Sam;NZL;1.445;
;;;;
1;320 RUDYK Mateusz;POL;10.26;70.175
2;122 BARRETTE Hugo;CAN;0.099;
;;;;
1;304 MITCHELL Ethan;NZL;10.286;69.998
2;176 VIGIER Sebastien;FRA;0.007;
;;;;
1;88 GLAETZER Matthew;AUS;10.25;70.244
2;252 FUKAYA Tomohiro;JPN;0.09;
;;;;
1;334 DMITRIEV Denis;RUS;10.17;70.796
2;184 CARLIN Jack;GBR;0.018;
;;;;
1;89 HART Nathan;AUS;10.184;70.699
;191 TRUMAN Joseph;GBR;REL;
;;;;
1;368 PAUL Nicholas;TTO;10.206;70.547
2;201 BOTTICHER Stefan;GER;0.004;
