rank;name;Country;Time;Speed
1;278 AWANG Mohd Azizulhasni;MAS;9.976;72173
2;275 LENDEL Vasilijus;LTU;0.279;
;;;;
1;358 PAUL Nicholas;TTO;10.088;71372
2;356 HSIEH Nien Hsing;TPE;0.093;
;;;;
1;188 KENNY Jason;GBR;10.234;70354
2;302 MITCHELL Ethan;NZL;1.259;
;;;;
1;261 NITTA Yudai;JPN;9.983;72123
2;288 LIGTLEE Sam;NED;0.05;
;;;;
1;167 CALEYRON Quentin;FRA;10.218;70464
2;135 XU Chao;CHN;0.165;
;;;;
1;201 BOTTICHER Stefan;;10.135;71041
2;144 QUINTERO CHAVARRO Kevin Santiago;;0.035;
;;;;
1;284 BUCHLI Matthijs;NED;10.3;69903
2;137 ZHOU Yu;CHN;0.041;
;;;;
1;353 TJON EN FA Jair;SUR;10.094;71330
2;177 VIGIER Sebastien;FRA;0.006;
;;;;
1;257 FUKAYA Tomohiro;JPN;9.998;72014
2;161 PERALTA Juan;ESP;0.094;
;;;;
1;280 SAHROM Muhammad Shah Firdaus;MAS;9.931;72500
2;183 CARLIN Jack;GBR;0.032;
;;;;
1;303 WEBSTER Sam;NZL;9.993;72050
2;229 SZALONTAY Sandor;HUN;0.096;
;;;;
1;90 HART Nathan;AUS;10.005;71964
2;94 RICHARDSON Matthew;AUS;0.072;
