rank;name;country;time;speed
1;101 MORTON Stephanie;AUS;11.502;62598
2;277 MAROZAITE Migle;LTU;0.136;
;;;;
1;129 GENEST Lauriane;CAN;11.084;64958
2;131 ORBAN Sarah;CAN;0.284;
;;;;
1;130 MITCHELL Kelsey;CAN;11.106;64830
2;267 OHTA Riyu;JPN;0.098;
;;;;
1;295 van RIESSEN Laurine;NED;11.337;63509
2;367 GODBY Madalyn;USA;0.243;
;;;;
1;181 GROS Mathilde;FRA;11.303;63700
2;146 BAYONA PINEDA Martha;COL;0.101;
;;;;
1;199 MARCHANT Katy;GBR;11.277;63847
2;345 SHMELEVA Daria;RUS;0.228;
;;;;
1;276 KRUPECKAITE Simona;LTU;11.127;64707
2;254 VECE Miriam;ITA;0.016;
;;;;
1;281 GAXIOLA GONZALEZ Luz Daniela;MEX;11.129;64696
2;282 SALAZAR VALLES Jessica;MEX;0.034;
;;;;
1;143 ZHONG Tianshi;;11.296;63739
2;310 PODMORE Olivia;;0.029;
;;;;
1;346 VOINOVA Anastasiia;RUS;11.169;64464
2;100 McCULLOCH Kaarle;AUS;0.307;
;;;;
1;265 KOBAYASHI Yuka;JPN;11.329;63554
2;195 CAPEWELL Sophie;GBR;0.035;
;;;;
1;363 STARIKOVA Olena;UKR;10.994;65490
2;307 HANSEN Natasha;NZL;0.058;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;Winner;
;;;;
;;;;
;;;;
;;;;
;;;Winner;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
