Family name,Given name,Country
CARRIER ,Marina ,AUS
PROKOPENKO ,Anastasiya ,BLR
SILKINA ,Volha ,BLR
CHAVES GUIMARAES ,Maria Ieda ,BRA
ZHANG ,Mingyu ,CHN
ZHANG ,Xiaonan ,CHN
MOYA ,Leidis Laura ,CUB
CUASPUD ,Marcela ,ECU
KANDIL ,Amira ,EGY
MORSY ,Haydy ,EGY
CLOUVEL ,Elodie ,FRA
OTEIZA ,Marie ,FRA
FRENCH ,Kate ,GBR
MUIR ,Joanna ,GBR
LANGREHR ,Rebecca ,GER
SCHLEU ,Annika ,GER
GULYAS ,Michelle ,HUN
KOVACS ,Sarolta ,HUN
COYLE ,Natalya ,IRL
MICHELI ,Elena ,ITA
SOTERO ,Alice ,ITA
SHIMAZU ,Rena ,JPN
TAKAMIYA ,Natsumi ,JPN
POTAPENKO ,Elena ,KAZ
KIM ,Sehee ,KOR
KIM ,Sunwoo ,KOR
ASADAUSKAITE ,Laura ,LTU
VENCKAUSKAITE ,Gintare ,LTU
ARCEO ,Mariana ,MEX
OLIVER ,Mayan ,MEX
MALISZEWSKA ,Anna ,POL
BATASHOVA ,Uliana ,ROC
GUBAYDULLINA ,Gulnaz ,ROC
OZYUKSEL ,Ilke ,TUR
SCHULTZ ,Samantha ,USA
FAKHRUTDINOVA ,Alise ,UZB
