Family name,Given name,Country
VILLAMAYOR ,Sergio ,ARG
FERNON ,Edward ,AUS
GUSTENAU ,Gustav ,AUT
PALAZKOV ,Ilya ,BLR
BUSTOS ,Esteban ,CHI
LI ,Shuhuan ,CHN
LUO ,Shuai ,CHN
DERS ,Lester ,CUB
KUF ,Jan ,CZE
VLACH ,Martin ,CZE
ELGENDY ,Ahmed ,EGY
HAMED ,Ahmed ,EGY
HEREDIA VIVES,Aleix ,ESP
BELAUD ,Valentin ,FRA
PRADES ,Valentin ,FRA
CHOONG ,Joseph ,GBR
COOKE ,James ,GBR
DOGUE ,Patrick ,GER
LIEBIG ,Fabian ,GER
FERNANDEZ ,Charles ,GUA
KASZA ,Robert ,HUN
MAROSI ,Adam ,HUN
IWAMOTO ,Shohei ,JPN
ILYASHENKO ,Pavel ,KAZ
JUN ,Woongtae ,KOR
JUNG ,Jinhwa ,KOR
SVECOVS ,Pavels ,LAT
KINDERIS ,Justinas ,LTU
CARRILLO ,Duilio ,MEX
SANDOVAL ,Alvaro ,MEX
GUTKOWSKI ,Lukasz ,POL
STASIAK ,Sebastian ,POL
LIFANOV ,Alexander ,ROC
TYMOSHCHENKO ,Pavlo ,UKR
ELGEZIRY ,Amro ,USA
SAVKIN ,Alexander ,UZB
